wall_time,step,value
1772271043.8888435,51,3678.0
1772271146.7958915,52,4519.0
1772271221.633179,53,3880.0
1772271294.2045429,54,4749.0
1772271379.5778847,55,4916.0
1772271435.783042,56,4430.0
1772271526.3684268,57,4983.0
1772271577.4524868,58,4059.0
1772271666.8708134,59,4062.0
1772271759.8113346,60,5572.0
1772271841.022334,61,3863.0
1772271905.1145039,62,4223.0
1772271983.104225,63,4330.0
1772272028.1789904,64,3715.0
1772272115.727093,65,3749.0
1772272144.534549,66,3591.0
1772272193.3993406,67,3686.0
1772272267.6453545,68,4313.0
1772272296.9276266,69,2826.0
1772272364.9948587,70,3711.0
1772272394.5846965,71,3442.0
1772272467.2953002,72,3890.0
1772272523.7537491,73,4884.0
1772272592.7671828,74,4218.0
1772272631.526402,75,3489.0
1772272692.3342319,76,4056.0
1772272744.9138167,77,4236.0
1772272812.0115283,78,4528.0
1772272835.7025616,79,3889.0
1772272878.7169836,80,3757.0
1772272910.1556735,81,2965.0
1772272955.3481007,82,3620.0
1772272999.7597604,83,4711.0
1772273037.6292892,84,3302.0
1772273081.250356,85,3654.0
1772273118.017685,86,4374.0
1772273193.1127455,87,3766.0
1772273254.1179993,88,4388.0
1772273364.1476238,89,4078.0
1772273407.1435566,90,4027.0
1772273453.0531435,91,4636.0
1772273501.9332175,92,4393.0
1772273530.1056523,93,3862.0
1772273568.6440427,94,3538.0
1772273596.5838387,95,3285.0
1772273618.22596,96,2710.0
1772273717.1960862,97,4623.0
1772273770.2954104,98,4334.0
1772273850.9964354,99,3496.0
1772274482.6580803,100,4623.0
1772274509.475771,101,3772.0
1772274543.0653346,102,4071.0
1772274602.6734748,103,4571.0
1772274630.5787594,104,3779.0
1772274660.9828622,105,3520.0
1772274722.377512,106,5026.0
1772274749.5164924,107,3625.0
1772274776.4661925,108,3376.0
1772274809.0969923,109,3652.0
1772274848.9764013,110,4566.0
1772274878.7782707,111,3995.0
1772274921.0154486,112,4589.0
1772274961.2984061,113,4136.0
1772275002.7275956,114,4534.0
1772275027.5260708,115,3139.0
1772275054.9288387,116,3497.0
1772275119.887814,117,4450.0
1772275157.064919,118,5046.0
1772275179.2426455,119,2982.0
1772275200.59118,120,2301.0
1772275232.6363962,121,4191.0
1772275261.9101849,122,3259.0
1772275309.6325634,123,4043.0
1772275341.7679384,124,3315.0
1772275384.2012594,125,4469.0
1772275447.2472386,126,5078.0
1772275489.24159,127,3931.0
1772275526.456229,128,3462.0
1772275572.8806334,129,4218.0
1772275620.8231885,130,5248.0
1772275645.0480642,131,3236.0
1772275687.9179502,132,4473.0
1772275716.8390582,133,4038.0
1772275764.9083793,134,4963.0
1772275814.3984725,135,4125.0
1772275880.4336157,136,5066.0
1772275896.2097163,137,2213.0
1772275938.6830616,138,5208.0
1772275973.580479,139,3955.0
1772276000.8056693,140,3442.0
1772276036.310245,141,4280.0
1772276058.8900614,142,3141.0
1772276100.4528835,143,4108.0
1772276140.6057906,144,3661.0
1772276202.0092516,145,4529.0
1772276222.2671926,146,3400.0
1772276254.2165992,147,4078.0
1772276287.2627695,148,4129.0
1772276319.8069715,149,3354.0
1772276779.148878,150,3266.0
1772276818.9445927,151,4234.0
1772276848.6244948,152,3252.0
1772276894.3658001,153,4331.0
1772276919.8522885,154,3016.0
1772276940.97182,155,3209.0
1772276977.8057761,156,4880.0
1772277014.6069348,157,4186.0
1772277054.1893082,158,4069.0
1772277090.2434783,159,3901.0
1772277130.8938317,160,4956.0
1772277157.822471,161,3327.0
1772277195.4748816,162,4280.0
1772277221.0517607,163,3437.0
1772277267.796995,164,3884.0
1772277308.147403,165,4153.0
1772277342.461694,166,4180.0
1772277383.3271737,167,3921.0
1772277411.3482883,168,3083.0
1772277445.5672064,169,3634.0
1772277476.514186,170,3664.0
1772277514.882195,171,4423.0
1772277544.6462517,172,3632.0
1772277570.423591,173,2346.0
1772277594.302676,174,2886.0
1772277635.0017397,175,4564.0
1772277667.4458566,176,3571.0
1772277705.819581,177,4278.0
1772277739.4351506,178,3401.0
1772277770.3979259,179,3741.0
1772277802.5142663,180,4225.0
1772277819.968717,181,2677.0
1772277865.7793648,182,4105.0
1772277909.7719424,183,4577.0
1772277935.1394227,184,3350.0
1772277958.026091,185,2839.0
1772277997.1613405,186,5277.0
1772278027.8420615,187,3473.0
1772278065.238062,188,3547.0
1772278111.0872877,189,4637.0
1772278155.2058475,190,4786.0
1772278187.4678922,191,3877.0
1772278236.9884882,192,4832.0
1772278272.6517084,193,4068.0
1772278316.2913327,194,3928.0
1772278345.610574,195,3358.0
1772278385.5939705,196,4653.0
1772278419.91568,197,4172.0
1772278442.2871144,198,2434.0
1772278477.934372,199,4145.0
1772278972.3959045,200,5190.0
1772279037.5453587,201,5628.0
1772279069.3518913,202,3347.0
1772279114.645269,203,4818.0
1772279171.137123,204,5585.0
1772279205.5438108,205,3672.0
1772279241.6919239,206,4673.0
1772279273.264635,207,3225.0
1772279314.5449347,208,3610.0
