wall_time,step,value
1772271043.888833,51,3491.0
1772271146.795881,52,4256.0
1772271221.6331685,53,3878.0
1772271294.2045321,54,4363.0
1772271379.5778744,55,4900.0
1772271435.783031,56,4396.0
1772271526.3684168,57,4927.0
1772271577.4524767,58,4012.0
1772271666.8708029,59,4043.0
1772271759.8113241,60,5556.0
1772271841.022324,61,3861.0
1772271905.1144943,62,4122.0
1772271983.104214,63,4325.0
1772272028.17898,64,3614.0
1772272115.727083,65,3560.0
1772272144.5345387,66,3581.0
1772272193.3993304,67,3679.0
1772272267.6453435,68,3974.0
1772272296.9276168,69,2746.0
1772272364.994849,70,3587.0
1772272394.5846863,71,3436.0
1772272467.295291,72,3739.0
1772272523.753739,73,4814.0
1772272592.7671728,74,3907.0
1772272631.5263917,75,3467.0
1772272692.334222,76,4050.0
1772272744.9138057,77,4217.0
1772272812.011518,78,4493.0
1772272835.7025516,79,3882.0
1772272878.716974,80,3694.0
1772272910.1556637,81,2942.0
1772272955.3480904,82,3438.0
1772272999.759746,83,4677.0
1772273037.6292791,84,3280.0
1772273081.2503455,85,3397.0
1772273118.017675,86,4368.0
1772273193.1127353,87,3576.0
1772273254.1179895,88,4377.0
1772273364.1476133,89,3741.0
1772273407.1435418,90,3976.0
1772273453.0531332,91,4629.0
1772273501.9332075,92,4352.0
1772273530.105642,93,3810.0
1772273568.6440332,94,3519.0
1772273596.5838284,95,3237.0
1772273618.2259495,96,2651.0
1772273717.1960766,97,4622.0
1772273770.2954004,98,4107.0
1772273850.9964256,99,3430.0
1772274482.6580706,100,4028.0
1772274509.475761,101,3769.0
1772274543.065324,102,4042.0
1772274602.6734638,103,3292.0
1772274630.5787487,104,3652.0
1772274660.9828527,105,3418.0
1772274722.3775017,106,5002.0
1772274749.5164819,107,3562.0
1772274776.4661822,108,3359.0
1772274809.096982,109,3586.0
1772274848.9763913,110,4527.0
1772274878.7782612,111,3797.0
1772274921.015439,112,4496.0
1772274961.2983959,113,4033.0
1772275002.7275858,114,4342.0
1772275027.5260615,115,3120.0
1772275054.9288287,116,3374.0
1772275119.887805,117,4416.0
1772275157.0649092,118,5011.0
1772275179.242636,119,2965.0
1772275200.5911682,120,2294.0
1772275232.6363857,121,4189.0
1772275261.9101753,122,3227.0
1772275309.6325526,123,4040.0
1772275341.7679284,124,2940.0
1772275384.20125,125,4469.0
1772275447.2472284,126,4968.0
1772275489.2415798,127,3495.0
1772275526.456218,128,3440.0
1772275572.8806233,129,4185.0
1772275620.823179,130,5240.0
1772275645.048054,131,3235.0
1772275687.9179404,132,4026.0
1772275716.8390484,133,3994.0
1772275764.9083698,134,4814.0
1772275814.3984625,135,4102.0
1772275880.433606,136,4804.0
1772275896.2097063,137,2188.0
1772275938.683052,138,5190.0
1772275973.580469,139,3911.0
1772276000.8056595,140,3436.0
1772276036.3102348,141,4171.0
1772276058.8900511,142,3127.0
1772276100.4528732,143,4094.0
1772276140.6057808,144,3466.0
1772276202.0092418,145,4008.0
1772276222.2671826,146,3354.0
1772276254.2165892,147,3921.0
1772276287.2627594,148,3965.0
1772276319.8069613,149,3267.0
1772276779.1488683,150,3243.0
1772276818.9445832,151,4194.0
1772276848.6244848,152,3100.0
1772276894.3657904,153,4177.0
1772276919.8522782,154,3011.0
1772276940.97181,155,3133.0
1772276977.805766,156,4824.0
1772277014.606925,157,4155.0
1772277054.189298,158,3879.0
1772277090.2434645,159,3878.0
1772277130.8938208,160,4847.0
1772277157.822461,161,3240.0
1772277195.4748719,162,4276.0
1772277221.05175,163,3282.0
1772277267.7969844,164,3802.0
1772277308.1473906,165,4146.0
1772277342.4616842,166,4075.0
1772277383.3271637,167,3820.0
1772277411.348278,168,3081.0
1772277445.567196,169,3336.0
1772277476.514176,170,3614.0
1772277514.8821852,171,4342.0
1772277544.646242,172,3627.0
1772277570.4235811,173,2282.0
1772277594.3026662,174,2873.0
1772277635.00173,175,4457.0
1772277667.4458466,176,3334.0
1772277705.8195713,177,4145.0
1772277739.435141,178,3393.0
1772277770.3979158,179,3739.0
1772277802.5142567,180,4144.0
1772277819.968707,181,2668.0
1772277865.7793546,182,3763.0
1772277909.7719321,183,4555.0
1772277935.1394129,184,3346.0
1772277958.026081,185,2799.0
1772277997.16133,186,5090.0
1772278027.8420517,187,3446.0
1772278065.2380514,188,3510.0
1772278111.0872777,189,4563.0
1772278155.205838,190,4735.0
1772278187.4678822,191,3866.0
1772278236.9884782,192,4378.0
1772278272.6516986,193,4067.0
1772278316.2913225,194,3598.0
1772278345.6105635,195,3270.0
1772278385.5939605,196,4319.0
1772278419.91567,197,3982.0
1772278442.287104,198,2285.0
1772278477.934362,199,4123.0
1772278972.3958945,200,5164.0
1772279037.5453486,201,5625.0
1772279069.3518808,202,3273.0
1772279114.645259,203,4809.0
1772279171.1371129,204,5128.0
1772279205.5438008,205,3659.0
1772279241.6919138,206,4429.0
1772279273.2646248,207,3152.0
1772279314.544925,208,3598.0
1772279358.08483,209,4543.0
1772279387.1558151,210,3584.0
1772279419.9331264,211,3957.0
1772279468.154299,212,4184.0
1772279496.4295058,213,4226.0
1772279536.1358533,214,3920.0
1772279585.1883678,215,5354.0
1772279619.6533632,216,3714.0
1772279657.472968,217,3375.0
1772279692.4142709,218,3288.0
1772279714.559986,219,3560.0
1772279747.6698785,220,3806.0
1772279784.5318658,221,4344.0
1772279838.8106742,222,3544.0
1772279893.7687078,223,3732.0
1772279941.6900015,224,4016.0
1772279980.6812954,225,4561.0
1772280008.1545227,226,2764.0
1772280045.2264848,227,3814.0
1772280078.1311526,228,3927.0
1772280117.0863383,229,4240.0
1772280142.155265,230,2893.0
1772280172.0478592,231,3472.0
1772280211.6528442,232,4940.0
1772280253.8417642,233,3543.0
1772280294.9899693,234,4478.0
1772280327.50602,235,4108.0
1772280359.188469,236,3903.0
1772280389.1859548,237,3463.0
1772280420.2530885,238,4005.0
1772280461.6530433,239,3626.0
1772280501.3699834,240,3418.0
1772280579.308381,241,4622.0
1772280615.891505,242,4253.0
1772280695.548266,243,4217.0
1772280732.7516344,244,3421.0
1772280775.374058,245,4283.0
1772280819.8422425,246,4854.0
1772280855.8221827,247,2945.0
1772280938.5547698,248,4236.0
1772280978.3665013,249,3531.0
1772281405.2393231,250,3647.0
1772281440.6441655,251,3554.0
1772281463.714396,252,3526.0
1772281499.6059725,253,4090.0
1772281538.3638299,254,4521.0
1772281567.2569907,255,4043.0
1772281626.929349,256,4413.0
1772281662.6636906,257,3855.0
1772281692.779806,258,3583.0
1772281724.041343,259,3781.0
1772281784.3965013,260,5082.0
1772281823.199011,261,3617.0
1772281858.6856415,262,3294.0
1772281895.762757,263,3514.0
1772281921.4097092,264,3240.0
1772281955.5382006,265,4147.0
1772281991.1276648,266,4646.0
1772282019.4194412,267,3535.0
1772282063.0354471,268,4783.0
1772282096.938273,269,4362.0
1772282134.2926033,270,4732.0
1772282167.6564233,271,3241.0
1772282203.3106458,272,4553.0
1772282255.491756,273,4263.0
1772282294.3230155,274,3877.0
1772282325.157981,275,3915.0
1772282357.8164713,276,4338.0
1772282390.2332485,277,4561.0
1772282422.5690002,278,3606.0
1772282459.91163,279,4118.0
1772282515.4588742,280,4744.0
1772282548.9974165,281,3704.0
1772282577.7430367,282,3528.0
1772282614.4724057,283,4864.0
1772282647.826462,284,4226.0
1772282681.192944,285,3967.0
1772282711.4587162,286,3505.0
1772282746.0637712,287,4062.0
1772282781.0350192,288,3667.0
1772282810.7968109,289,3692.0
1772282873.7343702,290,4054.0
1772282920.4032462,291,3901.0
1772282964.2968888,292,4912.0
1772283017.6707046,293,3945.0
1772283052.470636,294,3940.0
1772283084.1021523,295,3761.0
1772283109.0677714,296,3738.0
1772283143.6663098,297,3451.0
1772283174.3089116,298,4328.0
1772283217.7758002,299,4606.0
1772283687.9084792,300,3777.0
1772283727.403016,301,3965.0
1772283780.1438017,302,4866.0
1772283818.1799052,303,4223.0
1772283851.4231608,304,4060.0
1772283887.7756207,305,4773.0
1772283929.1425438,306,3881.0
1772283977.5036561,307,5409.0
1772284022.3761585,308,4410.0
1772284054.3010714,309,3749.0
1772284094.6339462,310,4384.0
1772284119.2063684,311,3409.0
1772284159.1328883,312,4393.0
1772284195.2624912,313,3835.0
1772284242.8863766,314,4112.0
1772284277.7870781,315,3618.0
1772284312.0637841,316,3668.0
1772284345.3239987,317,3900.0
1772284374.4611068,318,3951.0
1772284421.9215345,319,4914.0
1772284454.5243378,320,3977.0
1772284488.2780435,321,4050.0
1772284523.5462787,322,4121.0
1772284555.606358,323,4218.0
1772284602.4078114,324,4845.0
1772284667.3560164,325,4537.0
1772284711.9794066,326,3501.0
1772284775.7316093,327,4857.0
1772284806.716798,328,4774.0
1772284839.4002569,329,2823.0
1772284886.9188647,330,4444.0
1772284921.020513,331,4484.0
1772284987.0761647,332,5953.0
1772285017.6723175,333,3122.0
1772285048.072929,334,4397.0
1772285097.576149,335,4676.0
1772285159.383283,336,3820.0
1772285192.107199,337,3385.0
1772285230.9781024,338,4242.0
1772285265.0530927,339,4116.0
1772285304.064113,340,5115.0
1772285349.8955305,341,4525.0
1772285380.7374701,342,3405.0
1772285424.6920245,343,4160.0
1772285454.785153,344,3622.0
1772285520.5991092,345,5233.0
1772285558.9380875,346,4231.0
1772285579.683261,347,2989.0
1772285605.16254,348,3029.0
1772285655.830167,349,4297.0
1772286141.493926,350,4355.0
1772286167.9050252,351,3704.0
1772286233.5905821,352,4538.0
1772286273.6636496,353,3952.0
1772286317.2238605,354,3979.0
1772286347.8188722,355,3731.0
1772286387.3310177,356,3816.0
1772286422.1933155,357,3692.0
1772286459.710951,358,4495.0
1772286510.8966718,359,3642.0
1772286541.3347058,360,4060.0
1772286561.3055425,361,2877.0
1772286598.865807,362,3979.0
1772286634.5770419,363,3908.0
1772286668.8569636,364,3718.0
1772286704.1952178,365,4141.0
1772286738.1817937,366,4227.0
1772286779.9392023,367,3594.0
1772286827.7619004,368,5545.0
1772286874.076686,369,5087.0
1772286900.2061927,370,3172.0
1772286946.745548,371,4797.0
1772286979.027052,372,4192.0
1772287016.5772831,373,3742.0
1772287047.2609346,374,3597.0
1772287108.7563097,375,4359.0
1772287150.0023918,376,4799.0
1772287184.1519182,377,3548.0
1772287222.5742834,378,3920.0
1772287260.2148046,379,3932.0
1772287290.771063,380,3917.0
1772287325.9606488,381,3767.0
1772287367.6930692,382,4243.0
1772287400.1307049,383,3743.0
1772287430.4295192,384,3902.0
1772287463.2498758,385,4235.0
1772287497.6414366,386,3887.0
1772287552.4875236,387,4199.0
1772287579.221012,388,3250.0
1772287605.518565,389,2852.0
1772287640.0525603,390,4032.0
1772287675.019115,391,2958.0
1772287705.2230122,392,4336.0
1772287743.8083358,393,5130.0
1772287793.848847,394,4537.0
1772287830.450101,395,4231.0
1772287884.7100441,396,4136.0
1772287918.0848522,397,3706.0
1772287954.3329113,398,3585.0
1772287980.5788875,399,2898.0
1772288443.5192375,400,3428.0
1772288473.3758743,401,4689.0
1772288509.1783235,402,3817.0
1772288545.46862,403,4553.0
1772288576.4230356,404,3557.0
1772288609.1916592,405,4125.0
1772288640.2248757,406,3664.0
1772288676.087931,407,4619.0
1772288713.910425,408,4285.0
1772288739.3214695,409,3674.0
1772288781.0643039,410,4918.0
1772288810.677291,411,4135.0
1772288844.2622983,412,4399.0
1772288890.0648642,413,3735.0
1772288938.7326741,414,3759.0
1772288975.4697363,415,4354.0
1772289012.6296768,416,3879.0
1772289044.0586452,417,3472.0
1772289077.4117832,418,3428.0
1772289116.9371161,419,4357.0
1772289146.2624512,420,3840.0
1772289176.7576754,421,4192.0
1772289213.6760783,422,4090.0
1772289246.7461276,423,3368.0
1772289279.7309685,424,3804.0
1772289328.8148844,425,4296.0
1772289356.358968,426,3166.0
1772289393.3565423,427,4351.0
1772289436.4144297,428,4480.0
1772289468.9156678,429,3668.0
1772289507.3787775,430,4341.0
1772289548.1256733,431,4440.0
1772289583.2449057,432,4074.0
1772289629.7636096,433,4695.0
1772289668.6274047,434,4407.0
1772289704.0398016,435,3564.0
1772289740.6721683,436,4046.0
1772289776.5467982,437,3629.0
1772289818.667095,438,4264.0
1772289846.951531,439,3486.0
1772289885.5409746,440,4346.0
1772289908.7526395,441,2524.0
1772289949.4652474,442,4242.0
1772289982.2557535,443,4403.0
1772290007.9013948,444,3276.0
1772290054.352053,445,3816.0
1772290079.472902,446,3635.0
1772290104.3770893,447,2598.0
1772290140.2728987,448,4188.0
1772290178.6333473,449,3703.0
1772290637.6777074,450,4132.0
1772290663.8002284,451,2990.0
1772290711.8468347,452,4390.0
1772290760.3710995,453,3006.0
1772290789.5656116,454,3990.0
1772290818.4099252,455,2785.0
1772290845.8411155,456,4211.0
1772290883.1297977,457,4225.0
1772290936.8269951,458,5105.0
1772290964.255402,459,3506.0
1772291007.6994696,460,3839.0
1772291042.720481,461,2319.0
1772291077.171009,462,3433.0
1772291106.5099003,463,4521.0
1772291168.2500567,464,4554.0
1772291210.2450197,465,3581.0
1772291245.0997708,466,4195.0
1772291279.1902833,467,4039.0
1772291308.5463448,468,3794.0
1772291347.2318969,469,4471.0
1772291386.0407624,470,4693.0
1772291422.779957,471,4352.0
1772291471.772438,472,3872.0
1772291502.870629,473,3874.0
1772291539.4475093,474,4680.0
1772291571.818676,475,4120.0
