wall_time,step,value
1772271043.888805,51,4801.0
1772271146.7958531,52,5311.0
1772271221.6331418,53,4341.0
1772271294.2045035,54,4779.0
1772271379.5778472,55,5637.0
1772271435.7830029,56,4587.0
1772271526.3683906,57,5267.0
1772271577.4524484,58,4237.0
1772271666.8707755,59,4257.0
1772271759.8112972,60,6040.0
1772271841.0222976,61,4126.0
1772271905.1144683,62,4521.0
1772271983.1041842,63,5199.0
1772272028.1789541,64,4179.0
1772272115.7270572,65,4875.0
1772272144.5345113,66,3591.0
1772272193.399303,67,3844.0
1772272267.6453168,68,5177.0
1772272296.9275906,69,3282.0
1772272364.994822,70,3729.0
1772272394.5846608,71,4052.0
1772272467.2952666,72,3943.0
1772272523.753713,73,5099.0
1772272592.7671456,74,4121.0
1772272631.526366,75,3979.0
1772272692.3341963,76,5029.0
1772272744.9137797,77,4798.0
1772272812.0114934,78,4863.0
1772272835.702527,79,4180.0
1772272878.716948,80,4702.0
1772272910.1556375,81,3750.0
1772272955.348064,82,4193.0
1772272999.7597075,83,5090.0
1772273037.629253,84,4003.0
1772273081.2503192,85,4315.0
1772273118.0176475,86,4889.0
1772273193.1127086,87,3769.0
1772273254.1179664,88,5028.0
1772273364.147587,89,4179.0
1772273407.1435049,90,4776.0
1772273453.0531075,91,4786.0
1772273501.9331825,92,4976.0
1772273530.1056168,93,4294.0
1772273568.6440077,94,3739.0
1772273596.583803,95,3652.0
1772273618.2259233,96,2989.0
1772273717.1960528,97,4804.0
1772273770.2953746,98,4334.0
1772273850.996401,99,4053.0
1772274482.6580455,100,4988.0
1772274509.475737,101,3836.0
1772274543.0652978,102,4617.0
1772274602.673436,103,4281.0
1772274630.578723,104,3822.0
1772274660.9828272,105,3953.0
1772274722.3774765,106,5639.0
1772274749.5164573,107,3864.0
1772274776.466156,108,3884.0
1772274809.096956,109,3643.0
1772274848.9763663,110,5210.0
1772274878.7782362,111,4052.0
1772274921.0154138,112,5446.0
1772274961.2983692,113,4781.0
1772275002.7275596,114,4606.0
1772275027.5260377,115,3329.0
1772275054.9288042,116,3630.0
1772275119.8877823,117,6012.0
1772275157.064883,118,5111.0
1772275179.2426112,119,3546.0
1772275200.5911427,120,2394.0
1772275232.6363595,121,4309.0
1772275261.910151,122,3775.0
1772275309.6325269,123,5410.0
1772275341.7679024,124,3678.0
1772275384.2012253,125,5318.0
1772275447.247203,126,5610.0
1772275489.2415524,127,3763.0
1772275526.456157,128,4292.0
1772275572.8805974,129,5284.0
1772275620.8231547,130,5924.0
1772275645.0480273,131,3356.0
1772275687.9179168,132,4783.0
1772275716.8390236,133,4113.0
1772275764.9083445,134,5907.0
1772275814.3984373,135,5700.0
1772275880.433581,136,6159.0
1772275896.2096794,137,2659.0
1772275938.683027,138,6253.0
1772275973.5804434,139,4323.0
1772276000.8056343,140,3540.0
1772276036.310209,141,4286.0
1772276058.8900242,142,3270.0
1772276100.4528487,143,5271.0
1772276140.6057556,144,3854.0
1772276202.0092173,145,4950.0
1772276222.2671556,146,3410.0
1772276254.2165637,147,4172.0
1772276287.262734,148,4996.0
1772276319.8069358,149,3756.0
1772276779.1488428,150,3870.0
1772276818.9445577,151,4436.0
1772276848.62446,152,3405.0
1772276894.3657646,153,5310.0
1772276919.8522513,154,3016.0
1772276940.9717846,155,3336.0
1772276977.80574,156,5146.0
1772277014.6069002,157,4473.0
1772277054.1892722,158,4883.0
1772277090.2434287,159,4725.0
1772277130.8937929,160,5306.0
1772277157.8224354,161,3947.0
1772277195.474846,162,4536.0
1772277221.0517232,163,3657.0
1772277267.7969577,164,4785.0
1772277308.147362,165,4717.0
1772277342.4616585,166,4460.0
1772277383.327137,167,4562.0
1772277411.3482528,168,3296.0
1772277445.5671704,169,3841.0
1772277476.5141497,170,4827.0
1772277514.8821607,171,4536.0
1772277544.6462162,172,3798.0
1772277570.4235563,173,3030.0
1772277594.3026414,174,2886.0
1772277635.0017042,175,4763.0
1772277667.4458215,176,3756.0
1772277705.8195453,177,4219.0
1772277739.435117,178,4588.0
1772277770.3978908,179,4377.0
1772277802.5142322,180,4528.0
1772277819.9686797,181,2760.0
1772277865.7793283,182,4092.0
1772277909.771907,183,5154.0
1772277935.1393864,184,4094.0
1772277958.0260537,185,3032.0
1772277997.1613023,186,5678.0
1772278027.842025,187,3501.0
1772278065.2380254,188,3877.0
1772278111.0872524,189,4756.0
1772278155.2058141,190,5820.0
1772278187.467857,191,3877.0
1772278236.988451,192,5639.0
1772278272.6516733,193,4321.0
1772278316.2912967,194,4812.0
