wall_time,step,value
1772271043.8888557,51,3584.5
1772271146.7959032,52,4387.5
1772271221.6331904,53,3879.0
1772271294.2045553,54,4556.0
1772271379.5778966,55,4908.0
1772271435.7830544,56,4413.0
1772271526.368438,57,4955.0
1772271577.452498,58,4035.5
1772271666.8708262,59,4052.5
1772271759.8113468,60,5564.0
1772271841.022346,61,3862.0
1772271905.1145158,62,4172.5
1772271983.1042373,63,4327.5
1772272028.1790018,64,3664.5
1772272115.7271047,65,3654.5
1772272144.5345604,66,3586.0
1772272193.3993523,67,3682.5
1772272267.645366,68,4143.5
1772272296.9276376,69,2786.0
1772272364.9948697,70,3649.0
1772272394.5847077,71,3439.0
1772272467.2953115,72,3814.5
1772272523.753761,73,4849.0
1772272592.7671943,74,4062.5
1772272631.5264137,75,3478.0
1772272692.3342435,76,4053.0
1772272744.9138277,77,4226.5
1772272812.0115395,78,4510.5
1772272835.7025728,79,3885.5
1772272878.7169943,80,3725.5
1772272910.1556845,81,2953.5
1772272955.348112,82,3529.0
1772272999.7597766,83,4694.0
1772273037.6293006,84,3291.0
1772273081.250367,85,3525.5
1772273118.017696,86,4371.0
1772273193.112757,87,3671.0
1772273254.1180103,88,4382.5
1772273364.1476352,89,3909.5
1772273407.1435726,90,4001.5
1772273453.0531547,91,4632.5
1772273501.9332287,92,4372.5
1772273530.105663,93,3836.0
1772273568.644054,94,3528.5
1772273596.58385,95,3261.0
1772273618.2259717,96,2680.5
1772273717.1960979,97,4622.5
1772273770.2954211,98,4220.5
1772273850.9964464,99,3463.0
1772274482.6580925,100,4325.5
1772274509.4757822,101,3770.5
1772274543.065346,102,4056.5
1772274602.673486,103,3931.5
1772274630.5787704,104,3715.5
1772274660.9828732,105,3469.0
1772274722.3775232,106,5014.0
1772274749.5165036,107,3593.5
1772274776.4662066,108,3367.5
1772274809.0970035,109,3619.0
1772274848.9764128,110,4546.5
1772274878.7782822,111,3896.0
1772274921.0154598,112,4542.5
1772274961.2984178,113,4084.5
1772275002.7276068,114,4438.0
1772275027.5260813,115,3129.5
1772275054.9288495,116,3435.5
1772275119.8878253,117,4433.0
1772275157.06493,118,5028.5
1772275179.242656,119,2973.5
1772275200.591191,120,2297.5
1772275232.6364076,121,4190.0
1772275261.9101963,122,3243.0
1772275309.6325748,123,4041.5
1772275341.7679493,124,3127.5
1772275384.2012708,125,4469.0
1772275447.2472496,126,5023.0
1772275489.2416015,127,3713.0
1772275526.4562404,128,3451.0
1772275572.8806446,129,4201.5
1772275620.8231993,130,5244.0
1772275645.048075,131,3235.5
1772275687.9179611,132,4249.5
1772275716.8390696,133,4016.0
1772275764.9083908,134,4888.5
1772275814.3984833,135,4113.5
1772275880.4336267,136,4935.0
1772275896.2097275,137,2200.5
1772275938.6830726,138,5199.0
1772275973.5804904,139,3933.0
1772276000.8056803,140,3439.0
1772276036.3102562,141,4225.5
1772276058.8900726,142,3134.0
1772276100.4528947,143,4101.0
1772276140.6058018,144,3563.5
1772276202.0092628,145,4268.5
1772276222.2672036,146,3377.0
1772276254.2166114,147,3999.5
1772276287.262781,148,4047.0
1772276319.8069832,149,3310.5
1772276779.148889,150,3254.5
1772276818.9446037,151,4214.0
1772276848.6245058,152,3176.0
1772276894.365812,153,4254.0
1772276919.8522997,154,3013.5
1772276940.971831,155,3171.0
1772276977.805787,156,4852.0
1772277014.606946,157,4170.5
1772277054.1893194,158,3974.0
1772277090.2434947,159,3889.5
1772277130.893843,160,4901.5
1772277157.8224816,161,3283.5
1772277195.4748929,162,4278.0
1772277221.051772,163,3359.5
1772277267.7970066,164,3843.0
1772277308.147418,165,4149.5
1772277342.4617057,166,4127.5
1772277383.3271854,167,3870.5
1772277411.3483002,168,3082.0
1772277445.5672185,169,3485.0
1772277476.514197,170,3639.0
1772277514.8822062,171,4382.5
1772277544.6462631,172,3629.5
1772277570.423602,173,2314.0
1772277594.3026874,174,2879.5
1772277635.001751,175,4510.5
1772277667.4458678,176,3452.5
1772277705.8195925,177,4211.5
1772277739.435162,178,3397.0
1772277770.397937,179,3740.0
1772277802.5142772,180,4184.5
1772277819.9687283,181,2672.5
1772277865.7793872,182,3934.0
1772277909.7719536,183,4566.0
1772277935.139434,184,3348.0
1772277958.0261028,185,2819.0
1772277997.1613514,186,5183.5
1772278027.8420725,187,3459.5
1772278065.2380733,188,3528.5
1772278111.0872989,189,4600.0
1772278155.2058585,190,4760.5
1772278187.4679031,191,3871.5
1772278236.9884996,192,4605.0
1772278272.6517193,193,4067.5
1772278316.291344,194,3763.0
1772278345.6105855,195,3314.0
1772278385.5939815,196,4486.0
1772278419.915691,197,4077.0
1772278442.2871256,198,2359.5
1772278477.934383,199,4134.0
1772278972.3959167,200,5177.0
1772279037.5453699,201,5626.5
1772279069.3519022,202,3310.0
1772279114.6452804,203,4813.5
1772279171.1371338,204,5356.5
1772279205.543822,205,3665.5
1772279241.691935,206,4551.0
1772279273.2646468,207,3188.5
1772279314.544946,208,3604.0
1772279358.0848565,209,4575.5
1772279387.1558363,210,3607.5
1772279419.933148,211,3962.5
1772279468.1543205,212,4520.5
1772279496.429527,213,4243.5
1772279536.135877,214,3946.5
1772279585.188389,215,5365.5
1772279619.6533906,216,3753.0
1772279657.4729898,217,3376.0
1772279692.414293,218,3369.0
1772279714.560008,219,3569.0
1772279747.6698992,220,3806.5
1772279784.531887,221,4350.0
1772279838.8106961,222,3798.0
1772279893.7687297,223,4189.5
1772279941.6900232,224,4156.0
1772279980.6813169,225,4566.5
1772280008.1545463,226,2766.5
1772280045.2265062,227,3970.0
1772280078.1311836,228,3942.0
1772280117.0863595,229,4271.5
1772280142.1552863,230,2911.5
1772280172.0478828,231,3484.5
1772280211.6528666,232,4968.0
1772280253.8417857,233,3573.0
1772280294.9899902,234,4504.5
1772280327.5060413,235,4109.0
1772280359.18849,236,3907.0
1772280389.1859763,237,3484.0
1772280420.2531095,238,4019.5
1772280461.6530645,239,3631.0
1772280501.3700058,240,3434.0
1772280579.3084033,241,4640.5
1772280615.8915257,242,4254.5
1772280695.5482872,243,4231.0
1772280732.751657,244,3469.0
1772280775.3740792,245,4478.0
1772280819.8422632,246,5073.5
1772280855.8222544,247,2979.0
1772280938.5547912,248,4237.0
1772280978.366523,249,3535.5
1772281405.239344,250,3652.0
1772281440.6441984,251,3567.5
1772281463.7144172,252,3539.0
1772281499.605994,253,4106.5
1772281538.3638506,254,4523.0
1772281567.2570112,255,4058.5
1772281626.9293702,256,4775.5
1772281662.6637115,257,3861.5
1772281692.7798276,258,3585.0
1772281724.0413635,259,3790.0
1772281784.3965225,260,5369.0
1772281823.199032,261,3624.0
1772281858.6856627,262,3294.5
1772281895.762778,263,3532.5
1772281921.4097297,264,3245.0
1772281955.5382216,265,4162.5
1772281991.1276865,266,4649.5
1772282019.419463,267,3540.0
1772282063.0354686,268,4787.0
1772282096.9382942,269,4363.0
1772282134.2926238,270,4744.5
1772282167.6564448,271,3273.5
1772282203.310667,272,4657.5
1772282255.491777,273,4587.5
1772282294.3230362,274,4094.0
1772282325.158002,275,3918.0
1772282357.8164926,276,4338.5
1772282390.2332695,277,4566.5
1772282422.5690227,278,3728.0
1772282459.9116516,279,4120.0
1772282515.458897,280,4807.5
1772282548.9974375,281,3717.5
1772282577.7430575,282,3554.5
1772282614.4724267,283,4874.0
1772282647.8264835,284,4237.0
1772282681.192966,285,3974.0
1772282711.4587383,286,3598.0
1772282746.0637922,287,4110.0
1772282781.03504,288,3667.5
1772282810.7968323,289,3757.0
1772282873.7343912,290,4416.0
1772282920.4032674,291,4200.5
1772282964.296911,292,5027.5
1772283017.670726,293,4136.0
1772283052.470657,294,3942.0
1772283084.1021729,295,3822.5
1772283109.067792,296,3775.5
1772283143.666331,297,3573.5
1772283174.308933,298,4345.0
1772283217.7758234,299,4666.5
1772283687.9085002,300,4077.5
1772283727.4030378,301,3973.5
1772283780.1438231,302,4883.5
1772283818.1799269,303,4238.0
1772283851.4231815,304,4101.5
1772283887.775642,305,4778.5
1772283929.1425648,306,3888.0
1772283977.5036783,307,5417.0
1772284022.3761904,308,4448.0
1772284054.3010943,309,3759.0
1772284094.6339672,310,4405.0
1772284119.20639,311,3423.5
1772284159.1329095,312,4395.0
1772284195.262551,313,3840.5
1772284242.8863971,314,4165.5
1772284277.7871027,315,3629.0
1772284312.0638072,316,3746.0
1772284345.3240197,317,3900.5
1772284374.4611282,318,3975.0
1772284421.9215565,319,4917.0
1772284454.5243585,320,3990.5
1772284488.2780662,321,4061.5
1772284523.5463006,322,4154.0
1772284555.6063793,323,4258.0
1772284602.4078324,324,5071.0
1772284667.3560371,325,4868.5
1772284711.9794278,326,3740.0
1772284775.7316298,327,4883.5
1772284806.716819,328,4793.5
1772284839.4002793,329,2856.0
1772284886.918886,330,4448.0
1772284921.020534,331,4487.0
1772284987.0761967,332,6098.5
1772285017.6723394,333,3135.0
1772285048.0729496,334,4442.5
1772285097.5761707,335,4904.0
1772285159.3833046,336,4268.5
1772285192.1072204,337,3439.5
1772285230.9781685,338,4261.5
1772285265.0531127,339,4122.0
1772285304.0641344,340,5116.0
1772285349.8955524,341,4528.0
1772285380.7374911,342,3411.0
1772285424.692045,343,4198.5
1772285454.7851734,344,3687.0
1772285520.5991297,345,5262.5
1772285558.938108,346,4328.0
1772285579.6832845,347,3036.5
1772285605.1625628,348,3039.0
1772285655.8301888,349,4298.5
1772286141.4939466,350,4370.5
1772286167.9050481,351,3705.5
1772286233.5906045,352,4606.0
1772286273.663671,353,3978.5
1772286317.2238815,354,4061.0
1772286347.8188941,355,3733.0
1772286387.3310394,356,3971.0
1772286422.1933382,357,3752.5
1772286459.7109716,358,4572.5
1772286510.896694,359,3867.5
1772286541.3347275,360,4066.0
1772286561.3055646,361,2887.5
1772286598.8658283,362,4011.0
1772286634.577063,363,3927.5
1772286668.8569849,364,3770.0
1772286704.1952412,365,4238.5
1772286738.1818144,366,4229.5
1772286779.939223,367,3707.0
1772286827.7619212,368,5566.5
1772286874.0767074,369,5159.0
1772286900.206215,370,3176.5
1772286946.7455704,371,4828.5
1772286979.027073,372,4222.0
1772287016.5773044,373,3868.0
1772287047.2609558,374,3645.5
1772287108.7563312,375,4740.5
1772287150.0024135,376,4869.0
1772287184.1519399,377,3555.0
1772287222.5743055,378,3982.5
1772287260.2148259,379,3944.5
1772287290.7710843,380,3951.0
1772287325.9606698,381,3784.5
1772287367.69309,382,4363.5
1772287400.1307266,383,3764.0
1772287430.4295406,384,3916.5
1772287463.2498972,385,4241.5
1772287497.6414587,386,3898.5
1772287552.4875455,387,4301.5
1772287579.2210348,388,3252.5
1772287605.5185869,389,2861.0
1772287640.052582,390,4116.0
1772287675.0191364,391,3173.0
1772287705.2230341,392,4345.5
1772287743.8083577,393,5135.5
1772287793.8488681,394,4630.0
1772287830.450123,395,4310.5
1772287884.7100654,396,4182.5
1772287918.0848742,397,3711.0
1772287954.332933,398,3591.0
1772287980.578909,399,2898.5
1772288443.519259,400,3456.5
1772288473.3758962,401,4719.0
1772288509.1783454,402,3901.5
1772288545.4686418,403,4560.5
1772288576.423057,404,3558.0
1772288609.1916819,405,4128.5
1772288640.2248967,406,3665.0
1772288676.0879548,407,4640.0
1772288713.9104474,408,4466.0
1772288739.321492,409,3701.0
1772288781.0643249,410,4943.5
1772288810.6773129,411,4166.0
1772288844.2623198,412,4404.5
1772288890.064885,413,3765.5
1772288938.7327034,414,3890.5
1772288975.4697635,415,4360.5
1772289012.6296983,416,3881.5
1772289044.0586667,417,3522.0
1772289077.4118052,418,3478.0
1772289116.9371388,419,4527.5
1772289146.2624724,420,3850.0
1772289176.7576966,421,4194.0
1772289213.6760998,422,4090.5
1772289246.7461476,423,3420.5
1772289279.730989,424,3812.5
1772289328.8149056,425,4315.5
1772289356.3589892,426,3244.5
1772289393.3565638,427,4370.0
1772289436.4144511,428,4492.5
1772289468.9156895,429,3672.0
1772289507.3787992,430,4408.0
1772289548.1256952,431,4441.0
1772289583.2449284,432,4074.5
1772289629.7636316,433,4768.0
1772289668.6274269,434,4444.5
1772289704.0398233,435,3594.5
1772289740.6733077,436,4058.5
1772289776.546819,437,3676.5
1772289818.6671169,438,4265.5
1772289846.951553,439,3581.0
1772289885.5409958,440,4393.0
1772289908.7526598,441,2528.0
1772289949.465268,442,4272.0
1772289982.255775,443,4433.5
1772290007.9014165,444,3338.5
1772290054.3520777,445,4093.0
1772290079.4729266,446,3681.0
1772290104.377112,447,2605.0
1772290140.272921,448,4188.0
1772290178.6333694,449,3764.5
1772290637.6777277,450,4139.5
1772290663.8002572,451,2995.5
1772290711.846856,452,4480.5
1772290760.3711195,453,3264.0
1772290789.5656345,454,4065.5
1772290818.4099462,455,2787.0
1772290845.8411365,456,4215.0
1772290883.1298187,457,4267.0
1772290936.827016,458,5292.5
1772290964.2554233,459,3517.0
1772291007.6994905,460,4022.5
1772291042.7205017,461,2431.0
1772291077.171031,462,3471.5
1772291106.5099225,463,4530.0
1772291168.2500772,464,4708.5
1772291210.2450404,465,3743.5
1772291245.0997918,466,4226.5
1772291279.1903048,467,4099.0
1772291308.5463662,468,3794.5
1772291347.2319179,469,4516.5
1772291386.0407832,470,4756.0
1772291422.779978,471,4356.0
1772291471.772459,472,3882.5
1772291502.8706503,473,3880.0
1772291539.4475307,474,4685.0
1772291571.8186972,475,4128.0
1772291609.6145346,476,3469.0
1772291652.8745112,477,3726.0
1772291687.8856745,478,3832.0
1772291720.2810555,479,3689.0
1772291758.8072746,480,3870.0
1772291793.5356586,481,3510.5
1772291835.3658068,482,4042.5
1772291871.737392,483,3967.0
1772291909.3871627,484,4402.5
1772291946.7407093,485,4785.0
1772291994.492535,486,4134.5
1772292026.0592327,487,3915.0
1772292065.568057,488,4383.0
1772292108.0523508,489,4247.5
1772292150.8222115,490,4153.0
1772292184.7555387,491,4049.0
1772292230.303526,492,4390.5
1772292269.389697,493,3567.5
1772292292.8622327,494,3962.5
1772292318.890392,495,3820.5
1772292342.9950845,496,2834.0
1772292392.6479325,497,4083.0
1772292423.889893,498,3928.0
1772292461.8426585,499,4477.5
1772292926.0356147,500,4664.0
1772292951.5519962,501,3203.0
1772292985.3686554,502,3661.5
1772293020.0812438,503,3645.5
1772293053.1142855,504,3318.5
1772293099.264967,505,4762.0
1772293161.005297,506,4983.5
1772293206.250969,507,4837.5
1772293243.0881982,508,4201.5
1772293276.5986755,509,3499.0
1772293311.2171655,510,4298.5
1772293342.7855422,511,3096.0
1772293370.29115,512,3632.0
1772293403.6955025,513,4249.0
1772293450.7677395,514,4141.5
1772293491.459841,515,4411.0
1772293524.6806495,516,4016.0
1772293558.2173295,517,3436.0
1772293593.2067919,518,3926.0
1772293622.9521234,519,3737.0
1772293670.9915533,520,4553.5
1772293702.1131008,521,4240.0
1772293734.104584,522,3637.5
1772293767.8633604,523,4260.0
1772293811.0920198,524,3891.5
1772293850.8291981,525,4184.5
1772293888.23685,526,4927.5
1772293929.803518,527,4787.0
1772293975.2566438,528,4226.5
1772294003.1938353,529,3382.5
1772294066.2242823,530,6480.5
1772294118.0885782,531,3522.0
1772294147.8754613,532,3599.5
1772294178.3549626,533,3691.5
1772294238.9207072,534,4864.5
1772294282.5894585,535,3914.5
1772294319.7399778,536,3427.0
1772294360.8629808,537,4356.5
1772294390.0747807,538,3589.5
1772294419.1696596,539,3592.5
1772294459.304347,540,4346.5
1772294484.9589443,541,2654.0
1772294542.3648913,542,5712.0
1772294582.531072,543,4499.0
1772294629.1296575,544,4062.5
1772294658.5251052,545,4426.5
1772294690.2998948,546,3038.5
1772294725.6141016,547,3845.5
1772294763.5403771,548,3681.0
1772294804.9569955,549,5334.0
1772295295.216388,550,4687.0
1772295323.2312462,551,3562.5
1772295372.0106723,552,4654.5
1772295406.0107782,553,4050.5
1772295446.2948265,554,3400.5
1772295480.5952816,555,3682.0
1772295531.7514062,556,5469.0
1772295577.1114447,557,4444.5
1772295613.2243006,558,4201.0
1772295642.9208243,559,3574.5
1772295681.0361896,560,4465.0
1772295708.5469668,561,3292.5
1772295756.5386832,562,4283.5
1772295794.7499194,563,3740.0
1772295835.3241446,564,4794.0
1772295867.2375572,565,4314.0
1772295910.3455706,566,3854.0
1772295953.0555713,567,4501.5
1772295979.8185964,568,3580.5
1772296005.204558,569,3239.5
1772296037.5933373,570,4078.0
1772296070.3416233,571,3992.5
1772296110.6873336,572,4086.0
1772296141.6430385,573,3328.0
1772296180.6787207,574,4298.0
1772296223.300286,575,4625.0
1772296247.709905,576,3033.5
1772296296.4203715,577,4946.0
1772296342.480161,578,5023.5
1772296405.8277721,579,3985.5
1772296430.2185135,580,3769.0
1772296461.6093674,581,4380.5
1772296490.0404875,582,3587.0
1772296531.5924077,583,4235.0
1772296567.6694565,584,3519.5
1772296604.1603992,585,3390.5
1772296632.951779,586,4059.5
1772296683.9033659,587,5087.5
1772296716.2203743,588,3475.5
1772296760.779825,589,4174.5
1772296796.5027559,590,3987.0
1772296843.4685314,591,4388.5
1772296883.7857382,592,4423.0
1772296924.328219,593,4794.0
1772296990.2036462,594,5091.5
1772297031.2599394,595,4389.5
1772297071.7305355,596,4114.5
1772297105.472536,597,4157.5
1772297136.5288687,598,3798.0
1772297168.98385,599,4074.0
1772297620.1451056,600,4201.0
1772297654.9961708,601,4404.0
1772297690.941146,602,3711.0
1772297719.0492742,603,3243.5
1772297765.038024,604,4792.0
1772297799.6642127,605,4273.0
1772297839.453415,606,4729.0
1772297884.912198,607,4348.0
1772297923.7837424,608,3476.0
1772297956.7418206,609,4005.0
1772297997.0226743,610,4557.5
1772298042.8690963,611,4802.0
1772298082.2687027,612,4188.5
1772298132.854931,613,4203.5
1772298178.117558,614,4234.0
1772298215.2107167,615,4986.5
1772298269.8892455,616,4908.0
1772298302.7872803,617,3856.0
1772298334.9818654,618,3748.5
1772298380.289204,619,4391.0
1772298413.9881103,620,4049.5
1772298457.4161246,621,4636.5
1772298507.8799808,622,5049.5
1772298549.318899,623,4222.5
1772298573.9955342,624,3291.5
1772298617.3614023,625,4378.0
1772298674.5619044,626,4123.5
1772298728.751496,627,4448.5
1772298767.8091059,628,4599.0
1772298810.1146219,629,4956.0
1772298852.1192281,630,4527.0
1772298892.859252,631,4089.0
1772298928.679928,632,3598.0
1772298970.907086,633,4324.0
1772299007.6241102,634,4502.5
1772299052.350715,635,5492.5
1772299097.0361912,636,4651.0
1772299144.301594,637,4362.0
1772299184.8634663,638,4050.5
1772299235.4369593,639,5556.0
1772299287.4195182,640,4291.5
1772299309.4802458,641,3344.0
1772299333.8270235,642,3031.0
1772299385.1511624,643,5886.0
1772299419.1252992,644,4342.5
1772299457.1262057,645,4279.5
1772299491.8339014,646,3764.0
1772299520.641833,647,4326.0
