wall_time,step,value
1772271043.8887103,51,2368.0
1772271146.7958026,52,3464.0
1772271221.6330662,53,3417.0
1772271294.2044451,54,4333.0
1772271379.577797,55,4179.0
1772271435.7829442,56,4239.0
1772271526.3683395,57,4643.0
1772271577.452378,58,3834.0
1772271666.8706403,59,3848.0
1772271759.8112366,60,5088.0
1772271841.0222423,61,3598.0
1772271905.114412,62,3824.0
1772271983.1040945,63,3456.0
1772272028.178869,64,3150.0
1772272115.7270036,65,2434.0
1772272144.5344176,66,3581.0
1772272193.3992198,67,3521.0
1772272267.6452641,68,3110.0
1772272296.9275398,69,2290.0
1772272364.9947295,70,3569.0
1772272394.5845938,71,2826.0
1772272467.2952166,72,3686.0
1772272523.7536511,73,4599.0
1772272592.7670636,74,4004.0
1772272631.5263166,75,2977.0
1772272692.3340979,76,3077.0
1772272744.9137094,77,3655.0
1772272812.0114415,78,4158.0
1772272835.7024775,79,3591.0
1772272878.7168646,80,2749.0
1772272910.1555867,81,2157.0
1772272955.3480082,82,2865.0
1772272999.7595818,83,4298.0
1772273037.6292021,84,2579.0
1772273081.2502654,85,2736.0
1772273118.017563,86,3853.0
1772273193.1126575,87,3573.0
1772273254.117911,88,3737.0
1772273364.147535,89,3640.0
1772273407.1434271,90,3227.0
1772273453.0530295,91,4479.0
1772273501.9331312,92,3769.0
1772273530.105569,93,3378.0
1772273568.6439471,94,3318.0
1772273596.5837507,95,2870.0
1772273618.2258508,96,2372.0
1772273717.1960034,97,4441.0
1772273770.2952478,98,4107.0
1772273850.996344,99,2873.0
1772274482.6579418,100,3663.0
1772274509.4756873,101,3705.0
1772274543.0652494,102,3496.0
1772274602.673385,103,3582.0
1772274630.5786738,104,3609.0
1772274660.982739,105,2985.0
1772274722.3774116,106,4389.0
1772274749.516408,107,3323.0
1772274776.4660964,108,2851.0
1772274809.0968847,109,3595.0
1772274848.9763012,110,3883.0
1772274878.7781827,111,3740.0
1772274921.0153637,112,3639.0
1772274961.2982981,113,3388.0
1772275002.7274935,114,4270.0
1772275027.525989,115,2930.0
1772275054.9287543,116,3241.0
1772275119.8877354,117,2854.0
1772275157.0647726,118,4946.0
1772275179.2425516,119,2401.0
1772275200.5910947,120,2201.0
1772275232.6362944,121,4071.0
1772275261.9101038,122,2711.0
1772275309.6324785,123,2673.0
1772275341.767826,124,2577.0
1772275384.2011762,125,3620.0
1772275447.247143,126,4436.0
