wall_time,step,value
1772271043.8888214,51,2433.0
1772271146.795869,52,1847.0
1772271221.633157,53,924.0
1772271294.20452,54,446.0
1772271379.5778632,55,1458.0
1772271435.783019,56,348.0
1772271526.3684056,57,624.0
1772271577.4524636,58,403.0
1772271666.8707912,59,409.0
1772271759.8113124,60,952.0
1772271841.0223124,61,528.0
1772271905.114483,62,697.0
1772271983.1042013,63,1743.0
1772272028.1789691,64,1029.0
1772272115.7270718,65,2441.0
1772272144.534527,66,10.0
1772272193.3993185,67,323.0
1772272267.6453323,68,2067.0
1772272296.9276059,69,992.0
1772272364.9948378,70,160.0
1772272394.5846756,71,1226.0
1772272467.2952805,72,257.0
1772272523.7537277,73,500.0
1772272592.7671614,74,117.0
1772272631.5263805,75,1002.0
1772272692.334211,76,1952.0
1772272744.9137945,77,1143.0
1772272812.0115073,78,705.0
1772272835.7025409,79,589.0
1772272878.7169633,80,1953.0
1772272910.1556523,81,1593.0
1772272955.3480785,82,1328.0
1772272999.7597303,83,792.0
1772273037.6292682,84,1424.0
1772273081.250334,85,1579.0
1772273118.0176632,86,1036.0
1772273193.1127238,87,196.0
1772273254.1179793,88,1291.0
1772273364.1476018,89,539.0
1772273407.1435258,90,1549.0
1772273453.0531223,91,307.0
1772273501.9331965,92,1207.0
1772273530.105631,93,916.0
1772273568.6440222,94,421.0
1772273596.5838175,95,782.0
1772273618.225938,96,617.0
1772273717.1960664,97,363.0
1772273770.2953897,98,227.0
1772273850.996415,99,1180.0
1772274482.6580598,100,1325.0
1772274509.4757507,101,131.0
1772274543.0653126,102,1121.0
1772274602.6734514,103,699.0
1772274630.5787375,104,213.0
1772274660.9828422,105,968.0
1772274722.3774908,106,1250.0
1772274749.5164711,107,541.0
1772274776.4661708,108,1033.0
1772274809.0969708,109,48.0
1772274848.9763808,110,1327.0
1772274878.7782502,111,312.0
1772274921.0154283,112,1807.0
1772274961.2983847,113,1393.0
1772275002.7275748,114,336.0
1772275027.5260513,115,399.0
1772275054.9288177,116,389.0
1772275119.887795,117,3158.0
1772275157.0648983,118,165.0
1772275179.2426252,119,1145.0
1772275200.5911572,120,193.0
1772275232.6363747,121,238.0
1772275261.9101646,122,1064.0
1772275309.6325412,123,2737.0
1772275341.7679176,124,1101.0
1772275384.2012393,125,1698.0
1772275447.2472177,126,1174.0
1772275489.2415683,127,100.0
1772275526.4561992,128,1682.0
1772275572.8806121,129,2165.0
1772275620.823168,130,1360.0
1772275645.048042,131,241.0
1772275687.91793,132,1067.0
1772275716.8390377,133,194.0
1772275764.9083586,134,2037.0
1772275814.3984518,135,3173.0
1772275880.4335952,136,2448.0
1772275896.2096944,137,917.0
1772275938.6830413,138,2108.0
1772275973.5804577,139,780.0
1772276000.8056488,140,202.0
1772276036.3102238,141,121.0
1772276058.8900392,142,272.0
1772276100.452863,143,2340.0
1772276140.6057699,144,581.0
1772276202.0092316,145,1363.0
1772276222.2671711,146,66.0
1772276254.216578,147,345.0
1772276287.2627485,148,1898.0
1772276319.8069499,149,891.0
1772276779.148857,150,1231.0
1772276818.9445727,151,444.0
1772276848.6244738,152,458.0
