wall_time,step,value
1772271043.8932946,51,7169.0
1772271146.7992218,52,8775.0
1772271221.6366575,53,7758.0
1772271294.2078726,54,9112.0
1772271379.5812097,55,9816.0
1772271435.787534,56,8826.0
1772271526.3718154,57,9910.0
1772271577.4559114,58,8071.0
1772271666.8753908,59,8105.0
1772271759.8158965,60,11128.0
1772271841.0267656,61,7724.0
1772271905.1188743,62,8345.0
1772271983.1076689,63,8655.0
1772272028.183401,64,7329.0
1772272115.7315366,65,7309.0
1772272144.539015,66,7172.0
1772272193.4038963,67,7365.0
1772272267.650297,68,8287.0
1772272296.9320605,69,5572.0
1772272364.999242,70,7298.0
1772272394.589123,71,6878.0
1772272467.2996533,72,7629.0
1772272523.758157,73,9698.0
1772272592.771691,74,8125.0
1772272631.5308545,75,6956.0
1772272692.338732,76,8106.0
1772272744.9182673,77,8453.0
1772272812.016042,78,9021.0
1772272835.7069564,79,7771.0
1772272878.721534,80,7451.0
1772272910.1593874,81,5907.0
1772272955.351987,82,7058.0
1772272999.76392,83,9388.0
1772273037.632849,84,6582.0
1772273081.253817,85,7051.0
1772273118.0220952,86,8742.0
1772273193.1170137,87,7342.0
1772273254.1220229,88,8765.0
1772273364.1513,89,7819.0
1772273407.1481273,90,8003.0
1772273453.0572362,91,9265.0
1772273501.9373038,92,8745.0
1772273530.1218576,93,7672.0
1772273568.6494272,94,7057.0
1772273596.5882392,95,6522.0
1772273618.2294767,96,5361.0
1772273717.1996582,97,9245.0
1772273770.2999718,98,8441.0
1772273851.0008712,99,6926.0
1772274482.7323346,100,8651.0
1772274509.4801452,101,7541.0
1772274543.0695941,102,8113.0
1772274602.6778755,103,7863.0
1772274630.5831568,104,7431.0
1772274660.987333,105,6938.0
1772274722.3819582,106,10028.0
1772274749.5210774,107,7187.0
1772274776.4706018,108,6735.0
1772274809.1005971,109,7238.0
1772274848.9808176,110,9093.0
1772274878.7826855,111,7792.0
1772274921.0198283,112,9085.0
1772274961.3028388,113,8169.0
1772275002.7320614,114,8876.0
1772275027.5306273,115,6259.0
1772275054.933247,116,6871.0
1772275119.8922243,117,8866.0
1772275157.069465,118,10057.0
1772275179.2470775,119,5947.0
1772275200.5955276,120,4595.0
1772275232.6622107,121,8380.0
1772275261.9136386,122,6486.0
1772275309.636031,123,8083.0
1772275341.7724767,124,6255.0
1772275384.2054605,125,8938.0
1772275447.2515273,126,10046.0
1772275489.2459714,127,7426.0
1772275526.4606018,128,6902.0
1772275572.8849745,129,8403.0
1772275620.8274817,130,10488.0
1772275645.052459,131,6471.0
1772275687.921596,132,8499.0
1772275716.843473,133,8032.0
1772275764.9127016,134,9777.0
1772275814.4021342,135,8227.0
1772275880.4372017,136,9870.0
1772275896.2132344,137,4401.0
1772275938.6864612,138,10398.0
1772275973.5839074,139,7866.0
1772276000.809162,140,6878.0
1772276036.313733,141,8451.0
1772276058.893644,142,6268.0
1772276100.456259,143,8202.0
1772276140.609222,144,7127.0
1772276202.0126941,145,8537.0
1772276222.2706587,146,6754.0
1772276254.2205381,147,7999.0
1772276287.2661989,148,8094.0
1772276319.8105023,149,6621.0
1772276779.2297273,150,6509.0
1772276818.948028,151,8428.0
1772276848.6279511,152,6352.0
1772276894.370281,153,8508.0
1772276919.856682,154,6027.0
1772276940.975376,155,6342.0
1772276977.8101783,156,9704.0
1772277014.6113343,157,8341.0
1772277054.1927454,158,7948.0
1772277090.2471972,159,7779.0
1772277130.8983521,160,9803.0
1772277157.8269873,161,6567.0
1772277195.479293,162,8556.0
1772277221.0553842,163,6719.0
1772277267.8005905,164,7686.0
1772277308.1510124,165,8299.0
1772277342.4652767,166,8255.0
1772277383.330709,167,7741.0
1772277411.3517296,168,6164.0
1772277445.5706253,169,6970.0
1772277476.5176327,170,7278.0
1772277514.8857682,171,8765.0
1772277544.6507213,172,7259.0
1772277570.4279711,173,4628.0
1772277594.3071997,174,5759.0
1772277635.005241,175,9021.0
1772277667.4493651,176,6905.0
1772277705.8230271,177,8423.0
1772277739.439509,178,6794.0
1772277770.402302,179,7480.0
1772277802.517821,180,8369.0
1772277819.972142,181,5345.0
1772277865.7838528,182,7868.0
1772277909.776586,183,9132.0
1772277935.1428862,184,6696.0
1772277958.0294957,185,5638.0
1772277997.1648602,186,10367.0
1772278027.8459857,187,6919.0
1772278065.2414603,188,7057.0
1772278111.090711,189,9200.0
1772278155.2141933,190,9521.0
1772278187.4714026,191,7743.0
1772278237.009651,192,9210.0
1772278272.6560538,193,8135.0
1772278316.2945938,194,7526.0
1772278345.6138945,195,6628.0
1772278385.5974517,196,8972.0
1772278419.919058,197,8154.0
1772278442.2903788,198,4719.0
1772278477.9376585,199,8268.0
1772278972.4584203,200,10354.0
1772279037.5487776,201,11253.0
1772279069.3554537,202,6620.0
1772279114.6488504,203,9627.0
1772279171.1405132,204,10713.0
1772279205.547297,205,7331.0
1772279241.6952045,206,9102.0
1772279273.2690246,207,6377.0
1772279314.548419,208,7208.0
1772279358.0883415,209,9151.0
1772279387.1592412,210,7215.0
1772279419.9366288,211,7925.0
1772279468.1588376,212,9041.0
1772279496.4339983,213,8487.0
1772279536.139313,214,7893.0
1772279585.1926816,215,10731.0
1772279619.6579092,216,7506.0
1772279657.4774857,217,6752.0
1772279692.418824,218,6738.0
1772279714.563409,219,7138.0
1772279747.693249,220,7613.0
1772279784.5365083,221,8700.0
1772279838.8140423,222,7596.0
1772279893.7721353,223,8379.0
1772279941.6935935,224,8312.0
1772279980.684574,225,9133.0
1772280008.1578455,226,5533.0
1772280045.2308168,227,7940.0
1772280078.134505,228,7884.0
1772280117.0897083,229,8543.0
1772280142.158977,230,5823.0
1772280172.0540898,231,6969.0
1772280211.6562645,232,9936.0
1772280253.8452213,233,7146.0
1772280294.9934068,234,9009.0
1772280327.5095155,235,8218.0
1772280359.192713,236,7814.0
1772280389.1896129,237,6968.0
1772280420.2565355,238,8039.0
1772280461.6563385,239,7262.0
1772280501.3743284,240,6868.0
1772280579.312632,241,9281.0
1772280615.8950136,242,8509.0
1772280695.5517154,243,8462.0
1772280732.754928,244,6938.0
1772280775.3775575,245,8956.0
1772280819.8455667,246,10147.0
1772280855.827792,247,5958.0
1772280938.5583,248,8474.0
1772280978.3700352,249,7071.0
1772281405.3181498,250,7304.0
1772281440.6485841,251,7135.0
1772281463.7188334,252,7078.0
1772281499.6103067,253,8213.0
1772281538.368485,254,9046.0
1772281567.2613788,255,8117.0
1772281626.932773,256,9551.0
1772281662.667081,257,7723.0
1772281692.7841952,258,7170.0
1772281724.0458293,259,7580.0
1772281784.4008722,260,10738.0
1772281823.2034936,261,7248.0
1772281858.6889803,262,6589.0
1772281895.7671304,263,7065.0
1772281921.4141958,264,6490.0
1772281955.5427167,265,8325.0
1772281991.131053,266,9299.0
1772282019.4227903,267,7080.0
1772282063.0389483,268,9574.0
1772282096.9420276,269,8726.0
1772282134.2969933,270,9489.0
1772282167.660898,271,6547.0
1772282203.3151724,272,9315.0
1772282255.496231,273,9175.0
1772282294.327453,274,8188.0
1772282325.1613796,275,7836.0
1772282357.8201027,276,8677.0
1772282390.2366452,277,9133.0
1772282422.5723174,278,7456.0
1772282459.915024,279,8240.0
1772282515.4632287,280,9615.0
1772282549.0007114,281,7435.0
1772282577.7463655,282,7109.0
1772282614.4756572,283,9748.0
1772282647.8308852,284,8474.0
1772282681.1975234,285,7948.0
1772282711.4631724,286,7196.0
1772282746.0671387,287,8220.0
1772282781.0391185,288,7335.0
1772282810.8011322,289,7514.0
1772282873.7441702,290,8832.0
1772282920.4330552,291,8401.0
1772282964.3002107,292,10055.0
1772283017.6739984,293,8272.0
1772283052.4739292,294,7884.0
1772283084.1056564,295,7645.0
1772283109.0712223,296,7551.0
1772283143.6697779,297,7147.0
1772283174.3133903,298,8690.0
1772283217.7803376,299,9333.0
1772283687.9684143,300,8155.0
1772283727.4064455,301,7947.0
1772283780.1472356,302,9767.0
1772283818.1833043,303,8476.0
1772283851.4265237,304,8203.0
1772283887.7799144,305,9557.0
1772283929.1481576,306,7776.0
1772283977.506997,307,10834.0
1772284022.3794682,308,8896.0
1772284054.3045256,309,7518.0
1772284094.6372652,310,8810.0
1772284119.2101893,311,6847.0
1772284159.1362102,312,8790.0
1772284195.2721155,313,7681.0
1772284242.8896246,314,8331.0
1772284277.791422,315,7258.0
1772284312.0683606,316,7492.0
1772284345.3283746,317,7801.0
1772284374.465616,318,7950.0
1772284421.9498112,319,9834.0
1772284454.5277643,320,7981.0
1772284488.2825146,321,8123.0
1772284523.549627,322,8308.0
1772284555.609714,323,8516.0
1772284602.4112234,324,10142.0
1772284667.359359,325,9737.0
1772284711.983198,326,7480.0
1772284775.7349308,327,9767.0
1772284806.720071,328,9587.0
1772284839.4046602,329,5712.0
1772284886.9232402,330,8896.0
1772284921.0251803,331,8974.0
1772284987.0795765,332,12197.0
1772285017.6756508,333,6270.0
1772285048.0762072,334,8885.0
1772285097.579432,335,9808.0
1772285159.3866096,336,8537.0
1772285192.1119702,337,6879.0
1772285230.9886372,338,8523.0
1772285265.0565438,339,8244.0
1772285304.068109,340,10232.0
1772285349.8999188,341,9056.0
1772285380.7409077,342,6822.0
1772285424.6953492,343,8397.0
1772285454.7885168,344,7374.0
1772285520.6024606,345,10525.0
1772285558.9414372,346,8656.0
1772285579.686566,347,6073.0
1772285605.1658833,348,6078.0
