wall_time,step,value
1772271043.891701,51,546.0
1772271146.7980068,52,532.0
1772271221.6353269,53,554.0
1772271294.206648,54,530.0
1772271379.579979,55,531.0
1772271435.785965,56,531.0
1772271526.3705716,57,542.0
1772271577.4546576,58,540.0
1772271666.8736932,59,413.0
1772271759.814208,60,554.0
1772271841.0251243,61,531.0
1772271905.1172726,62,372.0
1772271983.106411,63,517.0
1772272028.1817799,64,316.0
1772272115.7298813,65,456.0
1772272144.5373805,66,442.0
1772272193.4022453,67,543.0
1772272267.648687,68,531.0
1772272296.930375,69,553.0
1772272364.9976432,70,476.0
1772272394.5874746,71,531.0
1772272467.29806,72,531.0
1772272523.756553,73,517.0
1772272592.7700665,74,504.0
1772272631.529189,75,492.0
1772272692.3370633,76,478.0
1772272744.9166155,77,432.0
1772272812.0144038,78,471.0
1772272835.7053504,79,552.0
1772272878.7198937,80,520.0
1772272910.1581173,81,540.0
1772272955.3504393,82,416.0
1772272999.7625284,83,540.0
1772273037.6316328,84,548.0
1772273081.252606,85,387.0
1772273118.0204697,86,552.0
1772273193.1154265,87,396.0
1772273254.120812,88,546.0
1772273364.1500657,89,465.0
1772273407.1463535,90,516.0
1772273453.0559945,91,546.0
1772273501.935932,92,531.0
1772273530.1202693,93,543.0
1772273568.6481483,94,542.0
1772273596.5866756,95,531.0
1772273618.2282708,96,540.0
1772273717.1983628,97,509.0
1772273770.2983212,98,528.0
1772273850.9992285,99,531.0
1772274482.7306404,100,540.0
1772274509.4785695,101,529.0
1772274543.067968,102,540.0
1772274602.6762438,103,546.0
1772274630.581526,104,526.0
1772274660.9857297,105,530.0
1772274722.3803296,106,543.0
1772274749.5194104,107,492.0
1772274776.4690228,108,471.0
1772274809.09935,109,540.0
1772274848.979222,110,526.0
1772274878.7810585,111,528.0
1772274921.0181954,112,531.0
1772274961.3011963,113,454.0
1772275002.7304451,114,531.0
1772275027.5289497,115,364.0
1772275054.9315753,116,543.0
1772275119.8905873,117,297.0
1772275157.067725,118,528.0
1772275179.2454524,119,423.0
1772275200.5939262,120,267.0
1772275232.660587,121,432.0
1772275261.9123583,122,512.0
1772275309.6347961,123,387.0
1772275341.7708743,124,546.0
1772275384.2039244,125,516.0
1772275447.2498872,126,548.0
1772275489.244348,127,396.0
1772275526.45897,128,520.0
1772275572.8833869,129,532.0
1772275620.8258727,130,554.0
1772275645.0508451,131,465.0
1772275687.9203541,132,512.0
1772275716.8418775,133,476.0
1772275764.9111388,134,526.0
1772275814.4008615,135,516.0
1772275880.4358585,136,526.0
1772275896.2119842,137,369.0
1772275938.6852193,138,546.0
1772275973.582655,139,540.0
1772276000.807891,140,520.0
1772276036.3124807,141,553.0
1772276058.8923717,142,512.0
1772276100.4550185,143,540.0
1772276140.6079597,144,516.0
1772276202.0114589,145,546.0
1772276222.2693913,146,531.0
1772276254.2192886,147,531.0
1772276287.2649605,148,546.0
1772276319.8092132,149,396.0
1772276779.228426,150,454.0
1772276818.946775,151,516.0
1772276848.626667,152,542.0
1772276894.368592,153,528.0
1772276919.8550563,154,526.0
1772276940.9741063,155,408.0
1772276977.8085372,156,548.0
1772277014.6097226,157,540.0
1772277054.191477,158,540.0
1772277090.24584,159,540.0
1772277130.8966842,160,543.0
1772277157.8253095,161,540.0
1772277195.4776495,162,476.0
1772277221.054081,163,530.0
1772277267.7992327,164,554.0
1772277308.1497173,165,540.0
1772277342.4639964,166,540.0
1772277383.3294594,167,512.0
1772277411.3504684,168,478.0
1772277445.5693762,169,439.0
1772277476.516389,170,526.0
1772277514.8845084,171,516.0
1772277544.6490896,172,377.0
1772277570.4263735,173,517.0
1772277594.3055363,174,380.0
1772277635.0039659,175,420.0
1772277667.4480956,176,530.0
1772277705.8217952,177,500.0
1772277739.4379454,178,465.0
1772277770.4007025,179,450.0
1772277802.5164864,180,516.0
1772277819.9708917,181,540.0
1772277865.7822413,182,532.0
1772277909.7748308,183,548.0
1772277935.14163,184,526.0
1772277958.028264,185,369.0
1772277997.163571,186,531.0
1772278027.844734,187,546.0
1772278065.2402146,188,396.0
1772278111.0894327,189,468.0
1772278155.2111437,190,372.0
1772278187.470166,191,540.0
1772278237.008387,192,552.0
1772278272.6544561,193,410.0
1772278316.293414,194,405.0
1772278345.6127014,195,441.0
1772278385.5962374,196,543.0
1772278419.9177628,197,530.0
1772278442.2891939,198,556.0
1772278477.936462,199,504.0
1772278972.457117,200,421.0
1772279037.547512,201,528.0
1772279069.3541074,202,526.0
1772279114.6475203,203,530.0
1772279171.139251,204,540.0
1772279205.5460355,205,416.0
1772279241.6939826,206,540.0
1772279273.2674322,207,456.0
1772279314.5471156,208,444.0
1772279358.087086,209,546.0
