wall_time,step,value
1772271043.8916044,51,439.75
1772271146.7979393,52,339.0
1772271221.6352594,53,360.0
1772271294.2065804,54,380.0
1772271379.5799117,55,432.25
1772271435.785871,56,365.25
1772271526.3705008,57,402.0
1772271577.4545903,58,421.25
1772271666.8735924,59,340.25
1772271759.8141158,60,389.5
1772271841.0250258,61,412.0
1772271905.1171894,62,341.0
1772271983.1063435,63,319.25
1772272028.1816967,64,224.5
1772272115.7297852,65,329.75
1772272144.5372791,66,369.0
1772272193.4021606,67,520.5
1772272267.648604,68,431.25
1772272296.9302833,69,327.0
1772272364.997555,70,425.5
1772272394.587384,71,404.75
1772272467.2979774,72,418.75
1772272523.7564576,73,387.5
1772272592.769981,74,376.0
1772272631.5290978,75,341.75
1772272692.3369696,76,331.75
1772272744.9165323,77,296.0
1772272812.0143218,78,404.75
1772272835.7052562,79,468.0
1772272878.719783,80,304.5
1772272910.1580493,81,369.0
1772272955.350371,82,303.5
1772272999.7624514,83,298.5
1772273037.6315668,84,416.0
1772273081.2525182,85,344.25
1772273118.0203779,86,421.5
1772273193.115335,87,301.0
1772273254.1207411,88,398.5
1772273364.1499972,89,360.25
1772273407.1462476,90,412.25
1772273453.055786,91,424.25
1772273501.935846,92,354.5
1772273530.1201687,93,432.75
1772273568.6480682,94,339.75
1772273596.586586,95,373.75
1772273618.2281978,96,430.75
1772273717.19829,97,402.75
1772273770.2982204,98,385.0
1772273850.9991312,99,420.5
1772274482.73055,100,303.0
1772274509.4784696,101,426.75
1772274543.067881,102,329.75
1772274602.6761446,103,328.5
1772274630.581426,104,358.5
1772274660.9856355,105,333.75
1772274722.3802345,106,394.75
1772274749.5192988,107,394.0
1772274776.4689329,108,352.5
1772274809.0992827,109,407.0
1772274848.97912,110,348.0
1772274878.7809691,111,391.75
1772274921.0181057,112,317.5
1772274961.3011045,113,354.75
1772275002.7303617,114,463.25
1772275027.5288527,115,304.0
1772275054.931484,116,396.25
1772275119.8904939,117,213.75
1772275157.0676303,118,460.0
1772275179.2453554,119,262.75
1772275200.5938437,120,221.5
1772275232.6604908,121,327.25
1772275261.9122894,122,395.0
1772275309.6347225,123,325.25
1772275341.7707858,124,435.5
1772275384.2038286,125,381.75
1772275447.249799,126,406.0
1772275489.2442627,127,340.0
1772275526.4588783,128,471.0
1772275572.8832934,129,348.25
1772275620.8257797,130,469.0
1772275645.0507622,131,413.25
1772275687.920286,132,381.5
1772275716.841789,133,417.5
1772275764.9110482,134,332.5
1772275814.4007878,135,329.5
1772275880.4357908,136,413.5
1772275896.2119136,137,263.25
1772275938.6851504,138,376.75
1772275973.5825849,139,479.25
1772276000.807823,140,308.75
1772276036.3124056,141,379.5
1772276058.8922904,142,391.25
1772276100.4549487,143,373.0
1772276140.607892,144,421.0
1772276202.011388,145,417.0
1772276222.2693217,146,434.5
1772276254.2192194,147,434.75
1772276287.2648938,148,386.0
1772276319.809146,149,293.0
