wall_time,step,value
1772271043.8917832,51,322.0
1772271146.798075,52,144.0
1772271221.6353939,53,198.0
1772271294.2067158,54,279.0
1772271379.5800474,55,326.0
1772271435.786054,56,210.0
1772271526.3706415,57,292.0
1772271577.4547274,58,281.0
1772271666.873793,59,210.0
1772271759.8143032,60,324.0
1772271841.0252082,61,102.0
1772271905.1173635,62,322.0
1772271983.1064847,63,148.0
1772272028.18187,64,138.0
1772272115.7299635,65,131.0
1772272144.5374641,66,186.0
1772272193.402344,67,478.0
1772272267.6487787,68,180.0
1772272296.9304745,69,161.0
1772272364.9977374,70,316.0
1772272394.5875647,71,172.0
1772272467.2981567,72,252.0
1772272523.7566426,73,279.0
1772272592.7701566,74,176.0
1772272631.5292816,75,171.0
1772272692.3371694,76,111.0
1772272744.9167166,77,234.0
1772272812.0145068,78,294.0
1772272835.7054446,79,332.0
1772272878.7199733,80,210.0
1772272910.15819,81,117.0
1772272955.3505101,82,176.0
1772272999.7626064,83,148.0
1772273037.6316998,84,332.0
1772273081.2526753,85,284.0
1772273118.0205579,86,260.0
1772273193.1155207,87,172.0
1772273254.120881,88,240.0
1772273364.1501498,89,228.0
1772273407.1464577,90,221.0
1772273453.056083,91,369.0
1772273501.9361684,92,90.0
1772273530.1203613,93,326.0
1772273568.6482303,94,260.0
1772273596.5867658,95,222.0
1772273618.2283387,96,156.0
1772273717.1984334,97,308.0
1772273770.2984085,98,166.0
1772273850.999312,99,292.0
1772274482.730737,100,168.0
1772274509.478651,101,302.0
1772274543.0680606,102,225.0
1772274602.6763444,103,225.0
1772274630.5816076,104,234.0
1772274660.985819,105,114.0
1772274722.3804212,106,102.0
1772274749.519493,107,252.0
1772274776.4691145,108,126.0
1772274809.099419,109,244.0
1772274848.979305,110,234.0
1772274878.78115,111,171.0
1772274921.0182867,112,131.0
1772274961.3012996,113,281.0
1772275002.7305346,114,388.0
1772275027.5290546,115,211.0
1772275054.931664,116,132.0
1772275119.8906767,117,104.0
1772275157.067822,118,315.0
1772275179.2455344,119,160.0
1772275200.5940235,120,180.0
1772275232.6606793,121,171.0
1772275261.9124289,122,136.0
1772275309.6348646,123,252.0
1772275341.7709608,124,126.0
1772275384.2040071,125,181.0
1772275447.2499878,126,180.0
1772275489.2444444,127,306.0
1772275526.4590576,128,408.0
1772275572.883476,129,164.0
1772275620.8259702,130,270.0
1772275645.0509355,131,333.0
1772275687.9204223,132,268.0
1772275716.8419695,133,388.0
1772275764.9112332,134,168.0
1772275814.4009314,135,155.0
1772275880.4359276,136,274.0
1772275896.2120519,137,104.0
1772275938.6852903,138,196.0
1772275973.5827253,139,360.0
1772276000.8079638,140,114.0
1772276036.312548,141,268.0
1772276058.8924472,142,201.0
1772276100.455088,143,84.0
1772276140.608034,144,288.0
1772276202.011525,145,312.0
1772276222.269464,146,309.0
1772276254.2193575,147,172.0
1772276287.26503,148,146.0
1772276319.8092828,149,188.0
1772276779.2284935,150,204.0
1772276818.9468486,151,162.0
1772276848.6267385,152,176.0
1772276894.3686879,153,180.0
1772276919.8551486,154,240.0
1772276940.9741788,155,258.0
1772276977.808627,156,399.0
1772277014.6098125,157,121.0
1772277054.1915452,158,344.0
1772277090.2459178,159,211.0
1772277130.8967772,160,333.0
1772277157.8254015,161,228.0
1772277195.4777474,162,151.0
1772277221.054153,163,162.0
1772277267.7993019,164,99.0
1772277308.1497853,165,218.0
1772277342.4640677,166,127.0
1772277383.3295288,167,210.0
1772277411.3505414,168,166.0
1772277445.5694456,169,384.0
1772277476.5164566,170,212.0
1772277514.884578,171,399.0
1772277544.6491842,172,197.0
1772277570.4264622,173,69.0
1772277594.3056378,174,211.0
1772277635.004035,175,168.0
1772277667.4481673,176,140.0
1772277705.8218637,177,148.0
1772277739.4380274,178,216.0
1772277770.4008014,179,316.0
1772277802.5165594,180,286.0
1772277819.9709613,181,324.0
1772277865.782334,182,258.0
1772277909.7749202,183,138.0
1772277935.1416988,184,222.0
1772277958.028333,185,168.0
1772277997.1636434,186,416.0
1772278027.8448071,187,186.0
1772278065.2402868,188,86.0
1772278111.089499,189,274.0
1772278155.21135,190,196.0
1772278187.4702373,191,196.0
1772278237.0084586,192,243.0
1772278272.654545,193,212.0
1772278316.2934804,194,306.0
1772278345.6127675,195,60.0
1772278385.5963001,196,306.0
1772278419.9178286,197,270.0
1772278442.289262,198,172.0
1772278477.9365282,199,295.0
1772278972.4571872,200,274.0
1772279037.5475857,201,346.0
1772279069.354174,202,86.0
1772279114.6475904,203,309.0
1772279171.1393206,204,292.0
1772279205.546105,205,111.0
1772279241.694058,206,211.0
1772279273.2675297,207,192.0
1772279314.5471847,208,101.0
1772279358.0871537,209,288.0
1772279387.158072,210,91.0
1772279419.9354,211,222.0
1772279468.157287,212,432.0
1772279496.43245,213,164.0
1772279536.138152,214,176.0
1772279585.1911771,215,274.0
1772279619.656355,216,108.0
1772279657.4759083,217,84.0
1772279692.417249,218,176.0
1772279714.5622315,219,369.0
1772279747.6920638,220,160.0
1772279784.534891,221,246.0
1772279838.8128872,222,138.0
1772279893.7709923,223,279.0
1772279941.6923728,224,236.0
1772279980.6834393,225,204.0
1772280008.1567128,226,162.0
1772280045.2293258,227,192.0
1772280078.1333797,228,260.0
1772280117.0885878,229,151.0
1772280142.1578438,230,171.0
1772280172.0527472,231,156.0
1772280211.6550748,232,330.0
1772280253.8440168,233,288.0
1772280294.9922261,234,276.0
1772280327.5083005,235,432.0
1772280359.1912196,236,131.0
1772280389.1884134,237,323.0
1772280420.2553465,238,322.0
1772280461.6551979,239,216.0
1772280501.3728197,240,129.0
1772280579.3111737,241,324.0
1772280615.8938668,242,204.0
1772280695.5505633,243,228.0
1772280732.7538102,244,101.0
1772280775.3763938,245,498.0
1772280819.8444347,246,492.0
1772280855.826342,247,106.0
1772280938.557107,248,216.0
1772280978.368847,249,174.0
1772281405.316928,250,172.0
1772281440.6470768,251,260.0
1772281463.7172992,252,465.0
1772281499.608799,253,186.0
1772281538.3669245,254,388.0
1772281567.2598665,255,452.0
1772281626.9316244,256,324.0
1772281662.6659353,257,288.0
1772281692.7826402,258,279.0
