wall_time,step,value
1772271043.8913338,51,1113.0
1772271146.797737,52,1709.0
1772271221.6350539,53,1128.0
1772271294.20638,54,1401.0
1772271379.5797107,55,1058.0
1772271435.7856016,56,1329.0
1772271526.370286,57,1028.0
1772271577.4543824,58,1257.0
1772271666.8733144,59,1017.0
1772271759.813836,60,1900.0
1772271841.0247512,61,1133.0
1772271905.1169116,62,1138.0
1772271983.1061335,63,1146.0
1772272028.181414,64,908.0
1772272115.7295187,65,1044.0
1772272144.5370095,66,826.0
1772272193.4018729,67,508.0
1772272267.6484036,68,1240.0
1772272296.930013,69,625.0
1772272364.9972913,70,842.0
1772272394.587121,71,860.0
1772272467.297692,72,916.0
1772272523.7561712,73,1470.0
1772272592.7697067,74,1255.0
1772272631.5288143,75,704.0
1772272692.3367064,76,988.0
1772272744.916251,77,1139.0
1772272812.0140333,78,1239.0
1772272835.7049882,79,569.0
1772272878.719521,80,1329.0
1772272910.157838,81,869.0
1772272955.3501499,82,1381.0
1772272999.7622283,83,1370.0
1772273037.6313677,84,1054.0
1772273081.252308,85,1262.0
1772273118.020096,86,1027.0
1772273193.115072,87,916.0
1772273254.1203623,88,1353.0
1772273364.1497865,89,1525.0
1772273407.1460307,90,795.0
1772273453.0555286,91,1397.0
1772273501.935577,92,1332.0
1772273530.1199002,93,812.0
1772273568.6475675,94,1074.0
1772273596.5863216,95,694.0
1772273618.2279916,96,410.0
1772273717.1980836,97,1229.0
1772273770.2979481,98,1286.0
1772273850.9988556,99,869.0
1772274482.7302868,100,1609.0
1772274509.4782026,101,715.0
1772274543.0676262,102,992.0
1772274602.675873,103,2048.0
1772274630.581156,104,800.0
1772274660.9853704,105,871.0
1772274722.3799567,106,2048.0
1772274749.5190244,107,771.0
1772274776.4686694,108,798.0
1772274809.09908,109,1050.0
1772274848.9788315,110,1259.0
1772274878.7806954,111,928.0
1772274921.01784,112,1317.0
1772274961.3008444,113,1290.0
1772275002.7300863,114,1295.0
1772275027.5285642,115,691.0
1772275054.9312131,116,806.0
1772275119.89022,117,2048.0
1772275157.0673563,118,1112.0
1772275179.245088,119,594.0
1772275200.5935683,120,520.0
1772275232.6601584,121,1020.0
1772275261.9120722,122,824.0
1772275309.6345165,123,1498.0
1772275341.7705297,124,920.0
1772275384.2036402,125,1299.0
1772275447.2495644,126,1915.0
1772275489.2439866,127,1300.0
1772275526.4586117,128,1006.0
