wall_time,step,value
1772271043.8912385,51,456.375
1772271146.79767,52,757.875
1772271221.6349874,53,609.75
1772271294.2063136,54,759.0
1772271379.5796447,55,794.75
1772271435.7855086,56,738.0
1772271526.3702183,57,836.75
1772271577.4543166,58,587.625
1772271666.8732197,59,672.875
1772271759.813744,60,1001.5
1772271841.0246608,61,553.5
1772271905.1168296,62,702.125
1772271983.1060672,63,762.625
1772272028.1813202,64,691.625
1772272115.729427,65,583.875
1772272144.5369196,66,527.5
1772272193.4017909,67,400.125
1772272267.6482737,68,604.625
1772272296.9299223,69,369.5
1772272364.9972107,70,486.75
1772272394.5870261,71,455.0
1772272467.2976046,72,534.875
1772272523.7560828,73,824.75
1772272592.769626,74,639.625
1772272631.5287232,75,527.75
1772272692.3366077,76,681.5
1772272744.916161,77,760.625
1772272812.0139458,78,722.875
1772272835.7048972,79,503.375
1772272878.719424,80,626.875
1772272910.1577685,81,369.375
1772272955.3500776,82,578.75
1772272999.7621474,83,875.0
1772273037.6312993,84,406.75
1772273081.2522156,85,537.125
1772273118.0200047,86,671.25
1772273193.114985,87,616.75
1772273254.1202753,88,697.125
1772273364.1497056,89,617.125
1772273407.1460168,90,588.125
1772273453.0554273,91,733.875
1772273501.9354885,92,738.625
1772273530.119818,93,526.25
1772273568.6474805,94,542.375
1772273596.5862389,95,441.5
1772273618.2279255,96,239.375
1772273717.1980102,97,752.875
1772273770.2978427,98,670.125
1772273850.9987738,99,445.25
1772274482.7302055,100,778.375
1772274509.4781213,101,515.875
1772274543.0675292,102,684.375
1772274602.675786,103,654.375
1772274630.5810668,104,570.375
1772274660.9852817,105,533.5
1772274722.3798668,106,858.75
1772274749.5189347,107,504.375
1772274776.4685795,108,489.375
1772274809.0990117,109,497.75
1772274848.9787421,110,788.625
1772274878.7806149,111,582.25
1772274921.0177503,112,818.125
1772274961.3007479,113,666.375
1772275002.7299953,114,646.25
1772275027.5284653,115,478.375
1772275054.9311247,116,462.625
1772275119.8901374,117,894.5
1772275157.0672748,118,797.125
1772275179.244996,119,480.625
1772275200.5934792,120,352.875
1772275232.6386015,121,720.25
1772275261.9120007,122,415.75
1772275309.6344483,123,685.125
1772275341.7704246,124,346.375
1772275384.2035065,125,735.5
1772275447.249553,126,849.75
1772275489.2439013,127,588.25
1772275526.4585233,128,391.75
1772275572.882941,129,702.125
1772275620.8254309,130,842.0
1772275645.050409,131,395.625
1772275687.919998,132,680.875
1772275716.841435,133,586.5
1772275764.9106843,134,889.625
1772275814.4004936,135,698.875
1772275880.4355118,136,820.25
1772275896.2116382,137,286.875
1772275938.6848745,138,923.0
1772275973.5823026,139,504.0
1772276000.8075488,140,551.0
1772276036.3121178,141,676.875
1772276058.8919256,142,392.25
1772276100.4546702,143,652.25
1772276140.6076143,144,469.875
1772276202.011119,145,650.125
1772276222.2690392,146,409.75
1772276254.218947,147,565.125
1772276287.2646194,148,625.75
1772276319.808873,149,534.625
1772276779.2280674,150,494.875
1772276818.9464288,151,753.75
1772276848.6263213,152,432.0
1772276894.3681314,153,705.5
1772276919.8546028,154,358.875
1772276940.9737582,155,425.0
1772276977.808071,156,761.75
1772277014.6092613,157,671.625
1772277054.1911268,158,511.5
1772277090.245417,159,592.625
1772277130.8962393,160,742.625
1772277157.824838,161,469.875
1772277195.4771938,162,687.0
1772277221.0536425,163,453.875
1772277267.7988813,164,628.25
1772277308.1493583,165,585.875
1772277342.4636188,166,602.875
1772277383.3291187,167,604.625
1772277411.3501186,168,434.75
1772277445.5690393,169,459.75
1772277476.5160344,170,553.5
1772277514.8841445,171,634.875
1772277544.648638,172,588.875
1772277570.425926,173,323.25
1772277594.3050766,174,414.375
1772277635.0036066,175,792.625
1772277667.4477515,176,535.625
1772277705.8214533,177,720.875
1772277739.4374845,178,511.0
1772277770.400257,179,559.0
1772277802.5161338,180,649.875
1772277819.9705446,181,266.625
1772277865.7817872,182,575.75
1772277909.7743342,183,734.0
1772277935.141294,184,431.0
1772277958.0279095,185,428.5
1772277997.1632206,186,798.625
1772278027.844387,187,485.375
1772278065.2398672,188,638.625
1772278111.089082,189,764.0
1772278155.210265,190,928.125
1772278187.4698222,191,656.875
1772278237.0080307,192,777.5
1772278272.6540134,193,665.875
1772278316.2930853,194,592.5
1772278345.6123598,195,540.0
1772278385.595885,196,656.25
1772278419.9174361,197,615.75
1772278442.2888649,198,273.125
1772278477.9361227,199,610.75
1772278972.456778,200,950.25
1772279037.5471642,201,982.125
1772279069.3537562,202,470.5
1772279114.6471698,203,753.625
1772279171.138898,204,881.375
1772279205.5456824,205,596.625
1772279241.693656,206,726.25
1772279273.2669797,207,456.625
1772279314.5467813,208,635.25
1772279358.0867386,209,673.625
1772279387.1576576,210,583.625
1772279419.9350064,211,673.875
1772279468.1567338,212,633.625
1772279496.4318922,213,655.125
1772279536.1377473,214,776.625
1772279585.1906285,215,967.625
1772279619.6557899,216,691.5
1772279657.4753573,217,499.75
1772279692.4166896,218,541.25
1772279714.561814,219,412.75
1772279747.6915712,220,662.625
1772279784.5342367,221,698.25
1772279838.8124747,222,605.25
1772279893.7705944,223,688.625
1772279941.6919281,224,649.75
1772279980.6830466,225,813.375
1772280008.156309,226,398.125
1772280045.2287843,227,685.0
1772280078.132958,228,658.5
1772280117.0881987,229,742.875
1772280142.1574473,230,395.875
1772280172.0523267,231,554.875
1772280211.6546614,232,816.75
1772280253.8435965,233,558.0
1772280294.9918027,234,680.875
1772280327.507872,235,531.25
1772280359.190684,236,673.5
1772280389.1878028,237,500.0
1772280420.2549248,238,653.125
1772280461.6547995,239,589.75
1772280501.372287,240,539.75
1772280579.3106346,241,689.625
1772280615.8934631,242,710.375
1772280695.5501566,243,716.5
1772280732.7534156,244,690.5
1772280775.3759716,245,589.75
1772280819.8440173,246,739.625
1772280855.8257968,247,425.25
1772280938.5566893,248,709.25
1772280978.3684163,249,495.375
1772281405.3165243,250,608.0
1772281440.6465294,251,521.125
1772281463.7167664,252,387.75
1772281499.6082447,253,709.125
1772281538.3663876,254,685.25
1772281567.259318,255,507.375
1772281626.931214,256,767.375
1772281662.6655343,257,630.125
1772281692.7821157,258,490.5
1772281724.043748,259,613.75
1772281784.398812,260,880.25
1772281823.2013364,261,638.0
1772281858.6874454,262,410.375
1772281895.7650545,263,525.875
1772281921.4120276,264,382.75
1772281955.5405586,265,740.875
1772281991.129506,266,792.375
1772282019.421261,267,525.75
1772282063.0373769,268,723.75
1772282096.9402788,269,769.75
1772282134.2949836,270,736.625
1772282167.658784,271,517.875
1772282203.3131256,272,678.125
1772282255.4941406,273,756.875
1772282294.3253489,274,567.75
1772282325.1597874,275,543.25
1772282357.8185656,276,609.125
1772282390.2350924,277,662.125
1772282422.5707695,278,490.5
1772282459.9135065,279,542.75
1772282515.461184,280,771.375
1772282548.9991758,281,528.375
1772282577.744841,282,457.125
1772282614.4741404,283,770.25
1772282647.8288052,284,640.75
1772282681.195268,285,597.25
1772282711.4610624,286,581.75
1772282746.065579,287,657.75
1772282781.037308,288,493.375
1772282810.7990756,289,612.5
1772282873.7405705,290,749.0
1772282920.4315119,291,633.375
1772282964.2986536,292,842.875
1772283017.6724708,293,690.75
1772283052.472406,294,602.0
1772283084.1040254,295,520.625
1772283109.069622,296,458.375
1772283143.6681845,297,490.625
1772283174.311264,298,633.5
1772283217.7781956,299,851.625
1772283687.9668097,300,718.625
1772283727.4048977,301,660.625
1772283780.1456745,302,816.375
1772283818.1817842,303,813.75
1772283851.424976,304,600.875
1772283887.777925,305,685.625
1772283929.1465876,306,708.75
1772283977.50546,307,1026.25
1772284022.377943,308,754.0
1772284054.3029718,309,552.5
1772284094.6357176,310,691.5
1772284119.2083359,311,435.875
1772284159.1346626,312,759.75
1772284195.2703092,313,613.625
1772284242.8881063,314,679.375
1772284277.7895072,315,536.25
1772284312.0662491,316,519.0
1772284345.326315,317,559.625
1772284374.463511,318,575.5
1772284421.9476807,319,856.5
1772284454.5261729,320,621.125
1772284488.2804182,321,665.125
1772284523.5480576,322,655.5
1772284555.608136,323,673.0
1772284602.4096196,324,827.25
1772284667.3578143,325,811.875
1772284711.981431,326,541.75
1772284775.7334023,327,930.125
1772284806.7185435,328,727.375
1772284839.4025912,329,394.75
1772284886.9211974,330,829.5
1772284921.0231018,331,717.25
1772284987.07794,332,1098.125
1772285017.6741164,333,506.25
1772285048.0746825,334,678.125
1772285097.5779111,335,812.5
1772285159.3850772,336,697.125
1772285192.1099865,337,526.625
1772285230.9869826,338,690.875
1772285265.054948,339,662.0
1772285304.0663373,340,795.0
1772285349.8978596,341,827.25
1772285380.7392292,342,425.75
1772285424.6938093,343,607.125
1772285454.7869384,344,578.25
1772285520.600912,345,1015.625
1772285558.9398541,346,783.0
1772285579.685032,347,341.625
1772285605.1643398,348,397.5
1772285655.8325205,349,654.875
1772286141.574957,350,676.375
1772286167.9073706,351,419.875
1772286233.5930681,352,791.5
1772286273.6660743,353,697.875
1772286317.2261992,354,702.0
1772286347.8206937,355,555.75
1772286387.3333678,356,664.75
1772286422.1976855,357,547.625
1772286459.712843,358,703.625
1772286510.8991482,359,678.625
1772286541.3370419,360,671.5
1772286561.3079634,361,327.875
1772286598.8677795,362,640.0
1772286634.579419,363,640.125
1772286668.8588061,364,564.5
1772286704.1976154,365,686.875
1772286738.1835747,366,617.625
1772286779.9409702,367,555.5
1772286827.7637467,368,896.375
1772286874.0789168,369,894.75
1772286900.207974,370,479.875
1772286946.7478702,371,761.375
1772286979.029345,372,652.5
1772287016.579573,373,691.5
1772287047.262896,374,584.875
1772287108.7586782,375,787.875
1772287150.004882,376,883.75
1772287184.1542706,377,543.5
1772287222.5767782,378,688.875
1772287260.2171383,379,540.375
1772287290.773571,380,502.75
1772287325.9625092,381,715.375
1772287367.695336,382,679.125
1772287400.132807,383,519.5
1772287430.4312866,384,535.125
1772287463.2521899,385,627.875
1772287497.64396,386,593.625
1772287552.4898376,387,760.125
1772287579.2234726,388,472.875
1772287605.5208879,389,389.5
1772287640.0825891,390,575.25
1772287675.020968,391,409.25
1772287705.2253928,392,605.875
1772287743.8102155,393,905.375
1772287793.8506014,394,716.5
1772287830.451886,395,664.125
1772287884.7118425,396,714.375
1772287918.0866537,397,620.75
1772287954.3347058,398,497.25
1772287980.5813382,399,492.875
1772288443.594769,400,496.375
1772288473.3783638,401,713.0
1772288509.1806448,402,549.375
1772288545.4710677,403,667.375
1772288576.4255507,404,515.5
1772288609.1935012,405,577.375
