wall_time,step,value
1772271043.8914173,51,123.0
1772271146.7978044,52,253.0
1772271221.6351202,53,116.0
1772271294.2064466,54,569.0
1772271379.5797787,55,297.0
1772271435.7856917,56,114.0
1772271526.3703554,57,519.0
1772271577.454451,58,243.0
1772271666.8734107,59,450.0
1772271759.8139305,60,563.0
1772271841.0248454,61,189.0
1772271905.1170013,62,434.0
1772271983.1062033,63,521.0
1772272028.1815188,64,383.0
1772272115.7296152,65,248.0
1772272144.5370996,66,289.0
1772272193.4019678,67,308.0
1772272267.6484146,68,364.0
1772272296.9301038,69,6.0
1772272364.9973786,70,123.0
1772272394.587203,71,144.0
1772272467.2977996,72,145.0
1772272523.756285,73,359.0
1772272592.7697957,74,375.0
1772272631.5289228,75,279.0
1772272692.3367887,76,196.0
1772272744.9163535,77,416.0
1772272812.0141237,78,390.0
1772272835.7050772,79,450.0
1772272878.7196012,80,314.0
1772272910.1579082,81,141.0
1772272955.3502264,82,7.0
1772272999.7622974,83,575.0
1772273037.6314352,84,112.0
1772273081.252376,85,244.0
1772273118.0201979,86,307.0
1772273193.1151597,87,398.0
1772273254.1204488,88,290.0
1772273364.1498594,89,127.0
1772273407.1460445,90,388.0
1772273453.055614,91,373.0
1772273501.9356647,92,340.0
1772273530.120001,93,196.0
1772273568.6476562,94,270.0
1772273596.5864155,95,88.0
1772273618.2280579,96,135.0
1772273717.1981518,97,373.0
1772273770.2980375,98,447.0
1772273850.998953,99,110.0
1772274482.7303755,100,466.0
1772274509.4782987,101,159.0
1772274543.067706,102,424.0
1772274602.6759636,103,123.0
1772274630.5812473,104,253.0
1772274660.9854586,105,155.0
1772274722.3800576,106,199.0
1772274749.519117,107,165.0
1772274776.4687648,108,250.0
1772274809.0991468,109,247.0
1772274848.9789205,110,319.0
1772274878.780789,111,329.0
1772274921.0179358,112,273.0
1772274961.3009262,113,220.0
1772275002.7301803,114,306.0
1772275027.528662,115,317.0
1772275054.9313092,116,290.0
1772275119.890322,117,4.0
1772275157.0674481,118,445.0
1772275179.2451856,119,218.0
1772275200.5936565,120,254.0
1772275232.6603055,121,496.0
1772275261.91214,122,149.0
1772275309.6345832,123,106.0
1772275341.7706082,124,92.0
1772275384.2036512,125,457.0
1772275447.2497013,126,12.0
1772275489.2440727,127,169.0
1772275526.4587002,128,7.0
1772275572.8831162,129,489.0
1772275620.8255992,130,305.0
1772275645.050577,131,261.0
1772275687.9201353,132,103.0
1772275716.841618,133,481.0
1772275764.910867,134,349.0
1772275814.4006379,135,204.0
1772275880.435647,136,342.0
1772275896.2117755,137,178.0
1772275938.685013,138,417.0
1772275973.582446,139,262.0
1772276000.8076854,140,451.0
1772276036.3122673,141,359.0
1772276058.892064,142,258.0
1772276100.4548073,143,383.0
1772276140.607754,144,202.0
1772276202.0112517,145,160.0
1772276222.26918,146,180.0
1772276254.2190833,147,334.0
1772276287.2647579,148,172.0
1772276319.8090086,149,305.0
1772276779.2282102,150,275.0
1772276818.9465697,151,432.0
1772276848.6264577,152,237.0
1772276894.36831,153,319.0
1772276919.8547854,154,91.0
1772276940.9738958,155,220.0
1772276977.8082626,156,529.0
1772277014.609448,157,168.0
1772277054.1912658,158,64.0
1772277090.2456024,159,251.0
1772277130.896414,160,479.0
1772277157.8250222,161,285.0
1772277195.4773831,162,336.0
1772277221.05378,163,260.0
1772277267.7990236,164,188.0
1772277308.1495001,165,130.0
1772277342.463775,166,218.0
1772277383.3292542,167,112.0
1772277411.3502576,168,286.0
1772277445.569175,169,182.0
1772277476.5161684,170,245.0
1772277514.8842998,171,184.0
1772277544.6488185,172,376.0
1772277570.4261115,173,24.0
1772277594.3052616,174,90.0
1772277635.0037532,175,276.0
1772277667.4478886,176,188.0
1772277705.821592,177,329.0
1772277739.4376664,178,262.0
1772277770.4004385,179,294.0
1772277802.5162797,180,359.0
1772277819.9706864,181,95.0
1772277865.7819607,182,170.0
1772277909.7745352,183,410.0
1772277935.1414285,184,218.0
1772277958.0280454,185,295.0
1772277997.1633604,186,500.0
1772278027.8445277,187,125.0
1772278065.2400005,188,104.0
1772278111.0892243,189,391.0
1772278155.2105293,190,448.0
1772278187.4699612,191,391.0
1772278237.008179,192,286.0
1772278272.6541898,193,246.0
1772278316.2932174,194,180.0
1772278345.6125028,195,21.0
1772278385.5960188,196,185.0
1772278419.9175673,197,245.0
1772278442.2889957,198,93.0
1772278477.936262,199,318.0
1772278972.456911,200,677.0
1772279037.5473022,201,272.0
1772279069.3538966,202,142.0
1772279114.647308,203,63.0
1772279171.1390393,204,300.0
1772279205.545824,205,306.0
1772279241.6937842,206,398.0
1772279273.2671623,207,83.0
1772279314.5469155,208,265.0
1772279358.0868764,209,189.0
1772279387.1577923,210,235.0
1772279419.935137,211,334.0
1772279468.1569185,212,306.0
