wall_time,step,value
1772271043.8919644,51,1.4528632164001465e-05
1772271146.7982094,52,5.6549906730651855e-06
1772271221.6355288,53,4.380941390991211e-06
1772271294.206851,54,7.964670658111572e-06
1772271379.5801933,55,9.88692045211792e-06
1772271435.7862358,56,4.425644874572754e-06
1772271526.3707783,57,5.662441253662109e-06
1772271577.4548702,58,4.179775714874268e-06
1772271666.8739693,59,5.610287189483643e-06
1772271759.8144977,60,5.148351192474365e-06
1772271841.0253904,61,4.582107067108154e-06
1772271905.1175497,62,5.140900611877441e-06
1772271983.1066244,63,6.213784217834473e-06
1772272028.1820493,64,5.856156349182129e-06
1772272115.7301474,65,5.729496479034424e-06
1772272144.5376525,66,4.030764102935791e-06
1772272193.402518,67,6.16908073425293e-06
1772272267.6489642,68,4.351139068603516e-06
1772272296.9306924,69,4.738569259643555e-06
1772272364.9979243,70,4.991888999938965e-06
1772272394.5877445,71,1.7195940017700195e-05
1772272467.2983367,72,4.2691826820373535e-06
1772272523.7568247,73,4.187226295471191e-06
1772272592.7703393,74,5.073845386505127e-06
1772272631.5294633,75,6.236135959625244e-06
1772272692.337343,76,5.245208740234375e-06
1772272744.9168892,77,4.887580871582031e-06
1772272812.014677,78,5.0961971282958984e-06
1772272835.7056322,79,6.236135959625244e-06
1772272878.7201545,80,5.237758159637451e-06
1772272910.1583295,81,5.714595317840576e-06
1772272955.3507407,82,7.636845111846924e-06
1772272999.7627623,83,7.197260856628418e-06
1772273037.6318336,84,7.353723049163818e-06
1772273081.2528152,85,7.4356794357299805e-06
1772273118.020736,86,5.513429641723633e-06
1772273193.115697,87,6.750226020812988e-06
1772273254.1210165,88,4.351139068603516e-06
1772273364.1502821,89,6.943941116333008e-06
1772273407.1466634,90,6.757676601409912e-06
1772273453.0562363,91,7.778406143188477e-06
1772273501.936288,92,8.717179298400879e-06
1772273530.1205337,93,7.91996717453003e-06
1772273568.6483855,94,5.02169132232666e-06
1772273596.5869417,95,6.660819053649902e-06
1772273618.2284732,96,4.887580871582031e-06
1772273717.1985817,97,4.775822162628174e-06
1772273770.2985897,98,4.850327968597412e-06
1772273850.9995022,99,6.377696990966797e-06
1772274482.7309122,100,4.783272743225098e-06
1772274509.4788272,101,5.8710575103759766e-06
1772274543.0682957,102,4.604458808898926e-06
1772274602.6765132,103,6.332993507385254e-06
1772274630.5817974,104,4.716217517852783e-06
1772274660.9859955,105,5.602836608886719e-06
1772274722.3806021,106,4.731118679046631e-06
1772274749.5196774,107,6.400048732757568e-06
1772274776.4692929,108,4.902482032775879e-06
1772274809.0995545,109,5.0961971282958984e-06
1772274848.979449,110,6.705522537231445e-06
1772274878.7813327,111,6.154179573059082e-06
1772274921.018465,112,4.984438419342041e-06
1772274961.3014727,113,4.634261131286621e-06
1772275002.730713,114,4.857778549194336e-06
1772275027.5292754,115,6.3478946685791016e-06
1772275054.931852,116,5.014240741729736e-06
1772275119.8908577,117,5.21540641784668e-06
1772275157.0680037,118,5.245208740234375e-06
1772275179.2457638,119,6.027519702911377e-06
1772275200.5942018,120,4.738569259643555e-06
1772275232.6608584,121,4.678964614868164e-06
1772275261.9125714,122,4.880130290985107e-06
1772275309.6350038,123,6.571412086486816e-06
1772275341.7711375,124,4.7907233238220215e-06
1772275384.2041535,125,4.5299530029296875e-06
1772275447.2501695,126,5.0067901611328125e-06
1772275489.2446291,127,6.273388862609863e-06
1772275526.4592426,128,4.1425228118896484e-06
1772275572.8836548,129,4.902482032775879e-06
1772275620.8261406,130,5.140900611877441e-06
1772275645.051115,131,6.355345249176025e-06
1772275687.9205596,132,4.649162292480469e-06
1772275716.8421476,133,4.366040229797363e-06
1772275764.9114156,134,4.939734935760498e-06
1772275814.401071,135,5.6549906730651855e-06
1772275880.4361465,136,4.559755325317383e-06
1772275896.2121966,137,4.991888999938965e-06
1772275938.6854298,138,5.230307579040527e-06
1772275973.5828674,139,6.385147571563721e-06
1772276000.808104,140,4.656612873077393e-06
1772276036.312687,141,4.842877388000488e-06
