wall_time,step,value
1772271043.8928502,51,3.0547380447387695e-06
1772271146.7988849,52,2.7641654014587402e-06
1772271221.6362097,53,2.689659595489502e-06
1772271294.2075338,54,2.9355287551879883e-06
1772271379.5808678,55,2.5406479835510254e-06
1772271435.7870736,56,3.069639205932617e-06
1772271526.3714712,57,2.7194619178771973e-06
1772271577.455568,58,2.7418136596679688e-06
1772271666.874913,59,2.8461217880249023e-06
1772271759.8154209,60,1.1593103408813477e-05
1772271841.0263078,61,2.9578804969787598e-06
1772271905.1184158,62,2.8759241104125977e-06
1772271983.1073198,63,2.950429916381836e-06
1772272028.1829505,64,2.689659595489502e-06
1772272115.7310863,65,2.6598572731018066e-06
1772272144.5385575,66,2.726912498474121e-06
1772272193.4034498,67,2.689659595489502e-06
1772272267.6498523,68,2.682209014892578e-06
1772272296.9315846,69,2.6598572731018066e-06
1772272364.9988196,70,2.637505531311035e-06
1772272394.588675,71,3.904104232788086e-06
1772272467.2992098,72,2.2649765014648438e-06
1772272523.757723,73,2.6971101760864258e-06
1772272592.7712414,74,2.60770320892334e-06
1772272631.5303898,75,7.040798664093018e-06
1772272692.3382807,76,2.339482307434082e-06
1772272744.917804,77,2.6300549507141113e-06
1772272812.0155807,78,4.947185516357422e-06
1772272835.7065308,79,2.7418136596679688e-06
1772272878.7210753,80,2.5853514671325684e-06
1772272910.1590412,81,2.7567148208618164e-06
1772272955.351624,82,2.853572368621826e-06
1772272999.7635381,83,3.829598426818848e-06
1772273037.6325128,84,2.8781592845916748e-05
1772273081.2534826,85,3.069639205932617e-06
1772273118.0216274,86,2.5257468223571777e-06
1772273193.1165857,87,2.9727816581726074e-06
1772273254.1216884,88,2.682209014892578e-06
1772273364.150962,89,3.1739473342895508e-06
1772273407.147615,90,3.3229589462280273e-06
1772273453.0569053,91,2.7865171432495117e-06
1772273501.936968,92,2.436339855194092e-06
1772273530.1214092,93,2.7418136596679688e-06
1772273568.649083,94,2.51084566116333e-06
1772273596.5877717,95,2.4512410163879395e-06
1772273618.22914,96,2.9653310775756836e-06
1772273717.199285,97,2.913177013397217e-06
1772273770.2995174,98,3.0249357223510742e-06
1772273851.000414,99,2.652406692504883e-06
1772274482.731915,100,4.3585896492004395e-06
1772274509.479711,101,2.562999725341797e-06
1772274543.069131,102,2.644956111907959e-06
1772274602.6774187,103,3.039836883544922e-06
1772274630.5827048,104,2.8759241104125977e-06
1772274660.9868903,105,2.473592758178711e-06
1772274722.3815036,106,2.6598572731018066e-06
1772274749.5206196,107,2.4512410163879395e-06
1772274776.470157,108,2.808868885040283e-06
1772274809.1002526,109,3.46451997756958e-06
1772274848.9803681,110,2.5779008865356445e-06
1772274878.7822375,111,6.1318278312683105e-06
1772274921.0193691,112,2.600252628326416e-06
1772274961.302399,113,2.60770320892334e-06
1772275002.7316244,114,2.868473529815674e-06
1772275027.530126,115,2.3990869522094727e-06
1772275054.9327674,116,2.473592758178711e-06
1772275119.8917634,117,2.7939677238464355e-06
1772275157.068931,118,2.823770046234131e-06
1772275179.2466016,119,2.8461217880249023e-06
1772275200.5950828,120,2.4959444999694824e-06
1772275232.6617553,121,2.60770320892334e-06
1772275261.9132926,122,2.5480985641479492e-06
1772275309.635687,123,2.3990869522094727e-06
1772275341.7720184,124,2.7194619178771973e-06
1772275384.2050245,125,2.8759241104125977e-06
1772275447.2510717,126,2.5033950805664062e-06
1772275489.2455227,127,6.102025508880615e-06
1772275526.4601417,128,2.6971101760864258e-06
1772275572.8845606,129,2.51084566116333e-06
1772275620.8270397,130,2.5779008865356445e-06
1772275645.052001,131,2.4959444999694824e-06
1772275687.921253,132,2.473592758178711e-06
1772275716.843027,133,2.5779008865356445e-06
1772275764.9123487,134,2.6226043701171875e-06
1772275814.4017868,135,2.5406479835510254e-06
1772275880.4368544,136,2.5853514671325684e-06
1772275896.2128906,137,2.518296241760254e-06
1772275938.6861203,138,2.644956111907959e-06
1772275973.5835629,139,2.3692846298217773e-06
1772276000.808811,140,2.60770320892334e-06
1772276036.3133824,141,2.562999725341797e-06
1772276058.8932965,142,5.140900611877441e-06
1772276100.4559054,143,2.7418136596679688e-06
1772276140.6088786,144,2.5704503059387207e-06
1772276202.0123584,145,2.473592758178711e-06
1772276222.2703009,146,2.853572368621826e-06
